study_key,year,formulation,site,population,design,n,duration,comparator,primary_signal,decision_use,evidence_class,main_limit,source_url
Traikovich_PMID10522500,1999,Topical ascorbic-acid serum,Split face,"Adults 36-72; Fitzpatrick I-III; mild-moderate photodamage","Randomized double-blind vehicle-controlled split-face",19,3 months,Vehicle serum,"Objective and subjective facial photodamage improvement","Direct human support for a specific L-ascorbic-acid serum; not proof for every product",direct_human_limited,"Small sample; older proprietary formulation; narrow phototypes",https://pubmed.ncbi.nlm.nih.gov/10522500/
Fitzpatrick_PMID11896774,2002,"10% ascorbic acid + 7% tetrahexyldecyl ascorbate in anhydrous gel",Split face,Adults with facial photodamage,"Double-blind half-face vehicle-controlled",10,12 weeks,Anhydrous vehicle,"Clinical and microscopic improvement signal","Supports a specific mixed LAA/THD formula; cannot isolate either vitamin-C form",direct_human_very_small,"Ten participants; multi-form formula",https://pubmed.ncbi.nlm.nih.gov/11896774/
Humbert_PMID12823436,2003,5% vitamin-C cream,"Low neck and arm",Adults with photoaged skin,"Randomized double-blind vehicle-controlled",20,6 months,Vehicle cream,"Improved clinical and structural photoaging measures","Useful body-site and lower-strength precedent",direct_human_limited,"Small formulation-specific study; not a watery serum or spray",https://pubmed.ncbi.nlm.nih.gov/12823436/
Pinnell_PMID11207686,2001,L-ascorbic-acid solutions under varying pH and concentration,Ex-vivo/pig-skin delivery,Not a clinical outcome cohort,Penetration/formulation study,NA,NA,Formulation conditions,"Delivery favored acidic pH and increased through the tested concentration range to 20%","Mechanism anchor for formulation requirements only",mechanistic,"Not a human wrinkle or pigment trial; does not rank finished products",https://pubmed.ncbi.nlm.nih.gov/11207686/
Lin_PMID16185284,2005,"15% LAA + 1% tocopherol + 0.5% ferulic acid",UV-exposed skin model,"Bench and short-term photoprotection experiments",Formulation/UV challenge study,NA,NA,"Vitamin C/E without ferulic and controls","Ferulic improved stability and the tested combination's UV photoprotection","Supports CEF-system plausibility; not long-term cosmetic superiority",mechanistic_plus_short_term_human,"Formula-specific; does not establish equivalence of dupes",https://pubmed.ncbi.nlm.nih.gov/16185284/
Jagetia_PMC522805,2007,3% vitamin-C cream,Volar forearm,Postmenopausal volunteers,Controlled within-person human study,33,4 months,Vehicle/untreated sites,"Increased dermal papillae density","Direct structural body-site signal",direct_human_limited,"Structural surrogate; no consumer-visible endpoint or serum comparison",https://pmc.ncbi.nlm.nih.gov/articles/PMC522805/
Sibon_PMID28833652,2017,5% vitamin-C topical,"Forearm or leg",Older adults with Bateman purpura,"Randomized hemi-member study",18,12 weeks,Contralateral side,"Reduced hemorrhage area and increased dermal thickness","Condition-specific body evidence, not general brightening",direct_human_condition_specific,"Small and disease-specific",https://pubmed.ncbi.nlm.nih.gov/28833652/
Alvares_PMC9073224,2022,"15% LAA + 1% tocopherol + 0.5% ferulic acid cream",Forearms,"Adults 60-90 with actinic keratoses/field photodamage","Randomized double-blind factorial within-person topical comparison",40,8 weeks,Placebo cream with sunscreen background,"Lower actinic-keratosis count and more partial clearance; no superiority on the photoaging scale","Strongest directly auditable CEF-ratio clinical anchor in this matrix, but for diseased forearm skin",direct_human_limited,"Short; older phototypes I-III; AK endpoint; cream in airless packaging",https://pmc.ncbi.nlm.nih.gov/articles/PMC9073224/
THDA_AZ_PMID38525606,2024,"Tetrahexyldecyl ascorbate + acetyl zingerone",Face,Adults with photoaging,"Prospective randomized double-blind comparative",NA,12 weeks,Tetrahexyldecyl ascorbate alone,"Tests incremental benefit of acetyl zingerone over THDA","Does not answer whether THDA equals LAA",direct_human_formula_specific,"No vehicle-only arm in the comparison; proprietary combination",https://pubmed.ncbi.nlm.nih.gov/38525606/
VitaminC10_PMID42087444,2026,10% vitamin-C serum,Face,66 healthy Chinese women,"Randomized double-blind controlled",66,Study-specific,Blank/control group,"Signals in glycation/carbonylation/inflammation markers and skin color","Current human support for one 10% serum; await replication and full formulation audit",direct_human_provisional,"Single recent product/formula study; abstract-level audit; generalizability and independence need review",https://pubmed.ncbi.nlm.nih.gov/42087444/
