pair_id,left_id,left_name,right_id,right_name,same_session_category,minimum_spacing,rule_title,source_ids,proof_links,evidence_scope
P001,niacinamide,Niacinamide,laa,L-ascorbic acid (low-pH vitamin C),compatible,none,The “they cancel” rule is not supported,s9,https://pubmed.ncbi.nlm.nih.gov/16626384/,"No clinical evidence located shows that sequential finished niacinamide and L-ascorbic-acid products neutralize each other on skin. A human hyperpigmentation study used niacinamide plus ascorbyl glucoside in one gel with ultrasound, showing co-formulation is possible; it was not a trial of separate low-pH LAA and niacinamide serums. Formulas can still sting or pill."
P002,niacinamide,Niacinamide,vitc_derivative,Vitamin C derivative,compatible,none,Supported derivative coexistence,s24,https://pubmed.ncbi.nlm.nih.gov/40062688/,"A randomized study evaluated a serum containing niacinamide, tranexamic acid, stabilized vitamin C, and hydroxy acids. This supports coexistence in a designed derivative formula; it does not make every vitamin C derivative equivalent."
P003,niacinamide,Niacinamide,adapalene,Adapalene,compatible,none,No established inactivation,,,This review found no documented direct-contact inactivation rule for niacinamide with this active. That is not proof every vehicle and concentration pair was clinically tested; treat irritation and the exact finished formula separately from internet pH myths.
P004,niacinamide,Niacinamide,tretinoin_conventional,Tretinoin · conventional cream/gel,compatible,none,No established inactivation,,,This review found no documented direct-contact inactivation rule for niacinamide with this active. That is not proof every vehicle and concentration pair was clinically tested; treat irritation and the exact finished formula separately from internet pH myths.
P005,niacinamide,Niacinamide,tretinoin_stabilized,Tretinoin · microsphere/optimized/fixed,compatible,none,No established inactivation,,,This review found no documented direct-contact inactivation rule for niacinamide with this active. That is not proof every vehicle and concentration pair was clinically tested; treat irritation and the exact finished formula separately from internet pH myths.
P006,niacinamide,Niacinamide,tazarotene,Tazarotene,compatible,none,No established inactivation,,,This review found no documented direct-contact inactivation rule for niacinamide with this active. That is not proof every vehicle and concentration pair was clinically tested; treat irritation and the exact finished formula separately from internet pH myths.
P007,niacinamide,Niacinamide,otc_retinoid,Retinol / retinal / cosmetic retinoid,compatible,none,No established inactivation,,,This review found no documented direct-contact inactivation rule for niacinamide with this active. That is not proof every vehicle and concentration pair was clinically tested; treat irritation and the exact finished formula separately from internet pH myths.
P008,niacinamide,Niacinamide,aha,AHA · glycolic / lactic acid,compatible,none,No established inactivation,,,This review found no documented direct-contact inactivation rule for niacinamide with this active. That is not proof every vehicle and concentration pair was clinically tested; treat irritation and the exact finished formula separately from internet pH myths.
P009,niacinamide,Niacinamide,bha,BHA · salicylic acid leave-on,compatible,none,No established inactivation,,,This review found no documented direct-contact inactivation rule for niacinamide with this active. That is not proof every vehicle and concentration pair was clinically tested; treat irritation and the exact finished formula separately from internet pH myths.
P010,niacinamide,Niacinamide,pha,PHA leave-on,compatible,none,No established inactivation,,,This review found no documented direct-contact inactivation rule for niacinamide with this active. That is not proof every vehicle and concentration pair was clinically tested; treat irritation and the exact finished formula separately from internet pH myths.
