rank,ingredient_key,ingredient_name,trade_or_inci,category,evidence_score,tier,human_topical_0_30,study_quality_replication_0_20,mechanism_target_0_15,formulation_identity_0_15,delivery_stability_feasibility_0_20,development_stage,novelty_flag,rating_confidence,why_ranked_here,source_keys
1,palmitoyl_pentapeptide_4,Palmitoyl Pentapeptide-4,Original Matrixyl; pal-KTTKS,signal/matrikine,70,A,25,13,14,10,8,established,legacy,medium,"Best direct matched-vehicle topical wrinkle study in the current scan; one manufacturer-authored trial still limits replication confidence.",E1;E2
2,acetyl_hexapeptide_8,Acetyl Hexapeptide-8,Argireline,expression-line modulator,66,A,23,12,13,10,8,established,established,medium,"A direct randomized placebo-controlled peri-orbital study gives this the clearest expression-line signal, but it is short and penetration remains a constraint.",E1;E3;E10;F6
3,ghk_cu,Copper Tripeptide-1 / GHK-Cu,GHK-Cu; Copper Tripeptide-1,carrier/repair,59,B,13,11,15,10,10,established,legacy,medium,"Broad mechanistic and formulation literature plus small human signals; objective facial trial evidence is less decisive than the reputation.",E1;E5;E6;F5
4,sh_oligopeptide_1,sh-Oligopeptide-1,Recombinant human EGF; rhEGF,growth factor,56,B,16,10,14,8,8,established,established,medium,"Topical growth-factor literature includes controlled human studies, but preparations are heterogeneous and the ingredient-specific cosmetic dose/delivery is often unclear.",E9;E10;F15
5,sh_polypeptide_1,sh-Polypeptide-1,FGF2; bFGF; FGF2-STAB,growth factor,53,B,13,9,14,9,8,established,established,medium,"A biologically defined growth factor with wound/repair plausibility and topical GF literature, but limited isolated facial-aging evidence for this exact INCI.",E9;F16
6,matrixyl_3000,Matrixyl 3000,Palmitoyl Tripeptide-1 + Palmitoyl Tetrapeptide-7,signal blend,52,B,9,9,13,14,7,established,established,medium,"Defined commercial blend with supplier formulation and human-use claims; evidence should not be inherited from original Matrixyl pal-KTTKS.",F1;F14
7,matrixyl_synthe6,Matrixyl Synthe'6,Palmitoyl Tripeptide-38,signal blend,51,B,8,9,13,14,7,established,established,medium,"The active identity and commercial vehicle are clear and there is supplier clinical material, but independent peptide-only replication is thin.",F2;F14
8,tetrapeptide_21,Tetrapeptide-21,TEGO Pep 4-17,signal peptide,51,B,9,8,12,14,8,established,established,medium,"Defined sequence, technical documentation, and formulation guidance raise confidence above generic blends; the public human evidence is mainly supplier-led.",F5;F14
9,palmitoyl_tripeptide_5,Palmitoyl Tripeptide-5,SYN-COLL,signal peptide,51,B,9,8,13,14,7,established,established,medium,"Defined and formulatable with a clear TDS and collagen mechanism, but direct independent topical outcome evidence is limited.",F3;F14
10,sodium_dna_pdrn,Sodium DNA / PDRN,Polynucleotide; polydeoxyribonucleotide,biopolymer/repair,50,B,12,9,12,8,9,emerging,emerging,medium,"PDRN has a growing clinical and mechanistic repair literature, including newer topical work, but injectable/procedure evidence cannot be transferred to a routine serum.",E11;F14
11,palmitoyl_tripeptide_38,Palmitoyl Tripeptide-38,Matrixyl Synthe'6 active,signal peptide,48,B,8,7,12,14,7,established,established,medium,"The sequence is identifiable and lipidated, but the strongest public clinical story belongs to the branded premix rather than a clean isolated ingredient trial.",F2;F14
12,trifluoroacetyl_tripeptide_2,Trifluoroacetyl Tripeptide-2,Progeline,signal/anti-sagging,47,B,8,7,12,13,7,established,established,medium,"Technical files disclose identity, use level, stability, and a supplier study; independent peer-reviewed topical outcome replication is not established.",F11;F14
13,caprooyl_tetrapeptide_3,Caprooyl Tetrapeptide-3,ChroNOline,signal/lipopeptide,47,B,8,7,12,13,7,established,established,medium,"A defined lipopeptide with supplier formulation and DEJ rationale, but most human-looking claims are supplier or distributor evidence.",F12;F14
14,dipeptide_diaminobutyroyl_benzylamide_diacetate,Dipeptide Diaminobutyroyl Benzylamide Diacetate,SYN-AKE,expression-line modulator,46,B,7,7,12,13,7,established,established,medium,"Good identity and formulation documentation, but the venom-inspired mechanism is not equivalent to strong independent dynamic-line trials.",F4;F14
15,palmitoyl_tripeptide_1,Palmitoyl Tripeptide-1,Matrixyl 3000 component,signal peptide,46,B,7,7,12,13,7,established,established,medium,"Plausible lipidated matrikine and named component of a heavily used blend; stand-alone human evidence is not strong enough to borrow the whole blend claim.",F1;F14
16,palmitoyl_tetrapeptide_7,Palmitoyl Tetrapeptide-7,Matrixyl 3000 component,signal peptide,46,B,7,7,12,13,7,established,established,medium,"Defined component with formulation history, but its isolated contribution and finished-formula dose are rarely disclosed.",F1;F14
17,x50_antiaging,X50 Antiaging,Palmitoyl Heptapeptide-14 + Heptapeptide-15 Palmitate,delivery-system blend,41,C,6,5,11,11,8,established,established,low,"The delivery concept and INCI are documented, but targeted internalization and anti-aging outcomes are primarily supplier claims and product-level attribution is difficult.",F9;F14
18,skinarch,Skinarch,Palmitoyl Tetrapeptide-72 Amide,signal peptide,41,C,6,5,11,12,7,emerging,emerging,low,"Supplier material describes defined INCI and in-vivo signals, but independent publication, dose transparency, and replication are limited.",F8;F14
19,relistase,Acetylarginyltryptophyl Diphenylglycine,Relistase,signal/firming peptide,40,C,6,4,11,12,7,established,established,low,"Identity and official supplier positioning are clear, including a recommended use level, but public independent clinical evidence is sparse.",F7;F14
20,acetyl_octapeptide_3,Acetyl Octapeptide-3,SNAP-8,expression-line modulator,39,C,5,5,10,12,7,established,established,low,"A recognizable sequence with supplier/formulation history, but it does not inherit Argireline's study and has limited independent direct topical evidence.",F14;F6
21,palmitoyl_hexapeptide_12,Palmitoyl Hexapeptide-12,Palmitoyl Hexapeptide-12,signal/lipopeptide,38,C,5,5,10,11,7,established,established,low,"Lipidation and supplier formulation data make the ingredient plausible, while direct independent facial outcome evidence remains limited.",F14
22,pentapeptide_18,Pentapeptide-18,Leuphasyl,expression-line modulator,37,C,5,5,10,10,7,established,established,low,"Defined sequence and a coherent expression-line theory, often used in blends, but isolated human evidence and dose attribution are weak.",F14
23,acetyl_hexapeptide_1,Acetyl Hexapeptide-1,Munapsys,expression-line/pigment peptide,36,C,5,5,9,10,7,emerging,emerging,low,"A public technical page reports a small manufacturer panel and usable formulation guidance, but independent replication is absent.",F13;F14
24,hexapeptide_9,Hexapeptide-9,Collaxyl; conventional Hexapeptide-9,signal peptide,35,C,4,5,10,10,6,established,established,low,"Mechanistically plausible and commercially identifiable, but the 2025 cyclized Hexapeptide-9 RCT must not be transferred to this conventional form.",E4;F14
25,neoclair_pro,Acetyl Tetrapeptide-2,Neøclair Pro,antioxidant/pigment peptide,34,C,4,4,9,11,6,emerging,emerging,low,"Supplier TDS provides INCI, active content, and a small in-vivo claim; no independent peer-reviewed clinical confirmation was located.",F8;F14
26,nonapeptide_1,Nonapeptide-1 / Melanostatine-5,Melanostatine-5,pigment peptide,33,C,4,4,10,10,5,established,established,low,"Defined pigment-pathway identity and formulation availability are stronger than an unnamed brightening blend, but human attribution and replication are weak.",F14
27,oligopeptide_68,Oligopeptide-68,Oligopeptide-68,pigment peptide,32,C,3,4,9,10,6,established,established,low,"A named brightening ingredient with supplier listings, but the public clinical record and exact active-dose evidence are insufficient.",F14
28,palmitoyl_tripeptide_8,Palmitoyl Tripeptide-8,Palmitoyl Tripeptide-8,soothing/signal peptide,31,C,3,4,10,9,5,established,established,low,"A defined palmitoylated sequence with plausible anti-inflammatory positioning, but little directly auditable topical human outcome evidence.",F14
29,sh_oligopeptide_2,sh-Oligopeptide-2,Recombinant IGF-1,growth factor,30,C,4,4,11,6,5,established,established,low,"IGF-1 biology is defined, but ordinary cosmetic topical facial evidence and practical delivery data for this exact INCI are limited.",E9;F14
30,copper_lysinate_complex,Copper Lysinate Complex,Neodermyl-type complex,carrier/complex,29,D,3,4,9,8,5,established,established,low,"Technical composition exists, but the complex is not the same as GHK-Cu and the clinical contribution of its peptide component is difficult to isolate.",F14
31,syn_tacks,SYN-TACKS,Commercial SYN peptide complex,signal/complex,28,D,4,4,9,6,5,established,established,low,"Formulation guides show how the commercial complex is used, but the exact active identity and independent outcome literature are not sufficiently transparent.",F4;F14
32,bio_gf_complex,BIO GF Complex,Recombinant growth-factor complex,growth-factor blend,27,D,5,5,10,3,4,emerging,emerging,low,"Growth-factor category evidence is real, but a multi-factor finished blend with no complete active identity cannot inherit single-factor evidence.",E9;F14
33,nutecyl,C-Pep Nutecyl / Nutecyl,Palmitoyl Dipeptide-10,anti-glycation/lipopeptide,26,D,3,4,9,7,3,established,established,low,"Defined INCI and supplier technical data support formulation feasibility and in-vitro anti-glycation claims, not robust visible facial outcomes.",F10;F14
34,tridecapeptide_1,Tridecapeptide-1,Tridecapeptide-1,unbranded peptide,24,D,2,3,7,7,5,uncertain,uncertain,low,"The public record located a trade/import signal rather than a clear topical human evidence package, supplier TDS, or concentration history.",F14
35,tripeptide_2,Tripeptide-2,Unbranded/complex ingredient,signal peptide,23,D,2,3,7,6,5,uncertain,uncertain,low,"The name is too broad to identify a single sequence or evidence package; no reliable direct formulation-to-outcome chain was located.",F14
36,bio_placenta,Bio-Placenta,Placental/growth-factor blend,complex blend,21,D,3,3,8,3,4,uncertain,uncertain,low,"A trade name does not establish peptide identity, origin, active concentration, or topical clinical attribution; treat as an opaque blend.",F14
