record_id,ingredient_key,ingredient_name,material_form,source_name,source_url,access_date,pack_examples,unit_anchor_usd_per_g,price_status,formulation_use_rate,confidence,notes,best_anchor_usd_per_g,procurement_fit,model_role,eligibility_reason
FL-AHP8,acetyl_hexapeptide_8,Acetyl Hexapeptide-8,0.5% aqueous suspension,Formulate Labs,https://www.formulatelabs.ai/materials/acetyl-hexapeptide-8,2026-08-14,"100 g $1,400; 1 kg $10,500; 18 kg $159,090.91",8.84|10.50|14.00,direct public pack ladder,2-10% of suspension,high,"This is a supplied suspension price, not a pure-peptide powder price; page lists 0.5% lab concentrate and 0.05% standard options.",8.84,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-AO3,acetyl_octapeptide_3,Acetyl Octapeptide-3,0.5% aqueous suspension,Formulate Labs,https://www.formulatelabs.ai/materials/acetyl-octapeptide-3,2026-08-14,"100 g $10,680; 1 kg $80,100; 18 kg $1,213,260.71",67.40|80.10|106.80,direct public pack ladder,2-10% of suspension,high,Snap-8-class pure INCI suspension; the trade-name premix is not being substituted.,67.4,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-GHK,ghk_cu,Copper Tripeptide-1 / GHK-Cu,1% aqueous suspension,Formulate Labs,https://www.formulatelabs.ai/materials/copper-tripeptide-1,2026-08-14,"100 g $125; 1 kg $950; 18 kg $14,400",0.80|0.95|1.25,direct public pack ladder,0.5-10% of suspension; 0.01-0.1% pure active typical,high,Pure INCI copper peptide suspension; not a liposomal or branded copper complex.,0.8,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-SYNAKE,dipeptide_diaminobutyroyl_benzylamide_diacetate,Dipeptide Diaminobutyroyl Benzylamide Diacetate,0.5% aqueous suspension,Formulate Labs,https://www.formulatelabs.ai/materials/dipeptide-diaminobutyroyl-benzylamide-diacetate,2026-08-14,"100 g $19,812.79; 1 kg $148,580; 18 kg $2,250,738.94",125.04|148.58|198.13,direct public pack ladder,2-8% of suspension,high,SYN-AKE-class pure INCI material; no branded premix price is implied.,125.04,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-PT1,palmitoyl_tripeptide_1,Palmitoyl Tripeptide-1,0.1% aqueous suspension,Formulate Labs,https://www.formulatelabs.ai/materials/palmitoyl-tripeptide-1,2026-08-14,"100 g $1,400; 1 kg $10,500; 18 kg $159,027.27",8.83|10.50|14.00,direct public pack ladder,1-10% of suspension,high,Pure INCI component of Matrixyl 3000; price is for the carrier suspension.,8.83,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-PT7,palmitoyl_tetrapeptide_7,Palmitoyl Tetrapeptide-7,0.2% aqueous suspension,Formulate Labs,https://www.formulatelabs.ai/materials/palmitoyl-tetrapeptide-7,2026-08-14,"100 g $1,020; 1 kg $7,650; 18 kg $115,865.62",6.44|7.65|10.20,direct public pack ladder,1-10% of suspension,high,Pure INCI component of Matrixyl 3000; price is not the Matrixyl 3000 blend price.,6.44,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-PT5,palmitoyl_tripeptide_5,Palmitoyl Tripeptide-5,1% aqueous suspension,Formulate Labs,https://www.formulatelabs.ai/materials/palmitoyl-tripeptide-5,2026-08-14,"100 g $1,210.67; 1 kg $9,080; 18 kg $137,538.11",7.64|9.08|12.11,direct public pack ladder,1-3% of suspension,high,Pure INCI analogue of Syn-Coll; branded Syn-Coll remains a separate blend.,7.64,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-PT38,palmitoyl_tripeptide_38,Palmitoyl Tripeptide-38,0.3% aqueous suspension,Formulate Labs,https://www.formulatelabs.ai/materials/palmitoyl-tripeptide-38,2026-08-14,"100 g $732.79; 1 kg $5,480; 18 kg $83,251.40",4.63|5.48|7.33,direct public pack ladder,2-10% of suspension,high,Pure INCI analogue of Matrixyl Synthe'6; branded Synthe'6 remains a separate blend.,4.63,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-PT8,palmitoyl_tripeptide_8,Palmitoyl Tripeptide-8,0.3% aqueous suspension,Formulate Labs,https://www.formulatelabs.ai/materials/palmitoyl-tripeptide-8,2026-08-14,"100 g $7,120; 1 kg $53,400; 18 kg $808,819.29",44.93|53.40|71.20,direct public pack ladder,1-5% of suspension,high,Neurophroline-class pure INCI material; branded Neutrazen is not substituted.,44.93,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-PP4,palmitoyl_pentapeptide_4,Palmitoyl Pentapeptide-4,0.5% aqueous suspension,Formulate Labs,https://www.formulatelabs.ai/materials/palmitoyl-pentapeptide-4,2026-08-14,"100 g $1,242.12; 1 kg $9,300; 18 kg $141,092.47",7.84|9.30|12.42,direct public pack ladder,3-8% of 0.1% standard suspension for 3-5 ppm active,high,Pure INCI analogue of original Matrixyl; the page explicitly distinguishes it from the trade name.,7.84,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
