pmid,year,journal,title,publication_type,why_included,skin_or_population,key_signal,conflict_flag,pubmed_url
40042878,2025,JAMA Dermatology,"At-Home LED Devices for the Treatment of Acne Vulgaris",Systematic review/meta-analysis,"High-prestige synthesis of consumer LED acne evidence",Home acne-device studies,"Six studies support a possible lesion-reduction signal but with heterogeneity",none disclosed,https://pubmed.ncbi.nlm.nih.gov/40042878/
42307924,2026,JAMA Dermatology,"Development of a Core Outcome Domain Set for Facial Aging",Consensus/measurement study,"Standardizes future facial-aging trial outcomes",Facial-aging intervention trials,"Creates a common outcome framework for comparability",none disclosed,https://pubmed.ncbi.nlm.nih.gov/42307924/
41123900,2025,JAMA Dermatology,"Hydrocolloid Dressing vs Petroleum Ointment for Scar Appearance After Dermatologic Surgery",Randomized clinical trial,"Direct postoperative skincare comparison",Adults after excision or Mohs surgery,"Compares one-week hydrocolloid with daily petroleum",none disclosed,https://pubmed.ncbi.nlm.nih.gov/41123900/
41052654,2026,Journal of the American Academy of Dermatology,"Safe and effective acne treatment across skin types with a 1726 nm sebum-selective laser",Prospective multicenter study,"Longer follow-up and skin-type coverage for a major acne device",Fitzpatrick II-VI; moderate-to-severe acne,"91.5% had at least 50% inflammatory-lesion improvement at 52 weeks among assessed patients",none disclosed,https://pubmed.ncbi.nlm.nih.gov/41052654/
40253006,2025,Journal of the American Academy of Dermatology,"Evidence-based consensus on the clinical application of photobiomodulation",Systematic review/Delphi consensus,"High-prestige PBM safety and indication framework",Adult PBM indications,"Consensus supports selected PBM uses while requiring parameter-specific interpretation",none disclosed,https://pubmed.ncbi.nlm.nih.gov/40253006/
38772426,2025,Journal of the American Academy of Dermatology,"Sunscreens part 1: Mechanisms and efficacy",Clinical review,"Authoritative sunscreen efficacy and skin-of-color review",Photoprotection across skin types,"Covers UV endpoints, pigment, photoaging, and product selection",none disclosed,https://pubmed.ncbi.nlm.nih.gov/38772426/
38777185,2025,Journal of the American Academy of Dermatology,"Sunscreens part 2: Regulation and safety",Clinical review,"Authoritative regulatory and safety review",Sunscreen users and environment,"Separates absorption, regulation, vitamin D, contamination, and environmental questions",none disclosed,https://pubmed.ncbi.nlm.nih.gov/38777185/
40865731,2025,Journal of the American Academy of Dermatology,"Physicochemical properties of tinted sunscreens and practical considerations",Clinical review,"Directly informs visible-light/tinted sunscreen interpretation",Tinted sunscreen formulations,"Adds formulation and practical context to iron-oxide/tint claims",none disclosed,https://pubmed.ncbi.nlm.nih.gov/40865731/
40550334,2025,Journal of the American Academy of Dermatology,"Light and laser-based therapy in treatment of acne vulgaris",Clinical review,"Broad clinical comparison of acne energy modalities",Acne across skin types,"Reviews visible light, PDT, IPL, PDL, infrared, and 1726-nm laser options",none disclosed,https://pubmed.ncbi.nlm.nih.gov/40550334/
39216821,2025,Journal of the American Academy of Dermatology,"Clinical consequences of age-related skin barrier dysfunction-Part I",Clinical review,"High-prestige barrier biology framework",Aging skin,"Explains structural, molecular, and physiologic barrier changes",none disclosed,https://pubmed.ncbi.nlm.nih.gov/39216821/
41110715,2026,Journal of the American Academy of Dermatology,"Ingredients for oral photoprotection: An evidence-based classification",Evidence review,"Separates oral photoprotection evidence from supplement marketing",Oral photoprotection ingredients,"Classifies evidence for oral adjuncts without replacing topical sunscreen",none disclosed,https://pubmed.ncbi.nlm.nih.gov/41110715/
40408261,2025,British Journal of Dermatology,"Topical supplementation with physiological lipids rebalances the stratum corneum ceramide profile and strengthens skin barrier function",Double-blind intraparticipant study,"Direct lipidomic and barrier outcome study",Adults predisposed to atopic dermatitis,"Physiological-lipid emulsion improved ceramide/barrier measures versus standard emulsion",none disclosed,https://pubmed.ncbi.nlm.nih.gov/40408261/
41118317,2025,British Journal of Dermatology,"Mild skin cleansers strengthen microbiome networks without affecting the skin microbiome",Human microbiome intervention,"High-prestige cleanser/microbiome study",Human forearm and leg skin,"Mild cleansing may strengthen network structure without simply changing taxa",industry-linked/unclear,https://pubmed.ncbi.nlm.nih.gov/41118317/
41118315,2025,British Journal of Dermatology,"Unveiling acne microbiome signatures and the impact of a plant-monoterpene facewash",Clinical microbiome intervention,"Direct acne cleanser/microbiome evidence",Mild-to-moderate acne and controls,"Four-week marketed cleanser intervention measured microbiome signatures",industry-linked,https://pubmed.ncbi.nlm.nih.gov/41118315/
39946293,2025,British Journal of Dermatology,"An evidence-driven classification of nonfiltering ingredients for topical photoprotection",Evidence review,"Framework for adjunct photoprotection ingredients",Topical photoprotection,"Classifies nonfiltering antioxidant/anti-inflammatory adjuncts",none disclosed,https://pubmed.ncbi.nlm.nih.gov/39946293/
