atlas_id,pmid,year,citation,design,population_or_scope,intervention_and_parameters,comparator,main_result,current_routine_item,applicability_to_current_routine,main_evidence_to_practice_gap,url
photoprotection,23732711,2013,Hughes MCB et al. Sunscreen and prevention of skin aging,Randomized community trial,"903 adults younger than 55; 4.5 years",Daily broad-spectrum sunscreen,Discretionary sunscreen,"24% less progression of blinded microtopographic aging; relative odds 0.76 (95% CI 0.59-0.98)",Round Lab SPF 50 for outdoor exposure,Moderate category match,"Exact product UVA protection use amount reapplication and current exposure differ",https://pubmed.ncbi.nlm.nih.gov/23732711/
photoprotection,24313385,2014,Castanedo-Cazares JP et al. Near-visible light and UV photoprotection in melasma,Randomized controlled trial,"68 randomized; 61 completed; melasma; 8 weeks",SPF 50+ UV plus visible-light protection with iron oxides and 4% hydroquinone,SPF 50+ UV-only protection and 4% hydroquinone,"Greater improvement in melasma and color measures with visible-light protection",Round Lab SPF 50; tint status unknown,Narrow conditional match,"Melasma population hydroquinone co-treatment and visible-light context do not establish universal tint need",https://pubmed.ncbi.nlm.nih.gov/24313385/
retinoids,35620028,2022,Sitohang IBS et al. Topical tretinoin for treating photoaging,Systematic review of randomized controlled trials,7 RCTs,Topical tretinoin 0.025% to 5% for 3 to 24 months,Varied controls,"Consistent clinical photoaging improvements; heterogeneous formulas outcomes and older studies",Adapalene 0.1%,Indirect class match,"Tretinoin evidence cannot be assigned directly to adapalene or stacked into a Tria course",https://pubmed.ncbi.nlm.nih.gov/35620028/
retinoids,40990960,2025,Tran QT et al. Adapalene cream 0.1% in female skin ageing,Randomized controlled trial,"60 women randomized; 58 completed; 6 months",Adapalene cream 0.1% plus common cleanser moisturizer and sunscreen,No active treatment plus common background care,"Main skin-aging score improved more; one objective pigment score did not significantly separate; early stinging and xerosis common",Adapalene 0.1%,Direct ingredient and concentration match,"Small study no vehicle control female-only population and current Tria schedule limit transfer",https://pubmed.ncbi.nlm.nih.gov/40990960/
acne-actives,37487721,2023,Huang CY et al. Comparative efficacy of pharmacological acne treatments,Network meta-analysis,"221 RCTs; 65,601 participants in main lesion-count analysis; 37 interventions",Pharmacological acne monotherapies and combinations,Placebo and active comparators,"Oral isotretinoin ranked highest overall; topical retinoid plus BPO combinations were among stronger topical strategies",Adapalene 0.1% plus azelaic acid 10%,Strong category but unknown personal fit,"No current acne diagnosis lesion type severity baseline or outcome; adding BPO is not automatically warranted",https://pubmed.ncbi.nlm.nih.gov/37487721/
acne-actives,38300170,2024,Reynolds RV et al. Guidelines of care for acne vulgaris,Evidence-based clinical guideline,Systematic evidence review for acne management,"Topical retinoids and benzoyl peroxide strongly recommended; azelaic acid conditionally recommended",Multiple classes and standards of care,Recommendations graded by evidence,Adapalene plus azelaic acid,Good class alignment if acne is active,"Guideline evidence is diagnosis-specific and does not define safe Tria combination timing",https://pubmed.ncbi.nlm.nih.gov/38300170/
fractional-laser,22386051,2012,Zelickson BD et al. Home-use nonablative fractional laser for wrinkle reduction,Two prospective multicenter studies,"124 completers; periorbital wrinkles",PaloVia 1410 +/- 5 nm; daily active phase then twice-weekly maintenance,None,"Reported investigator and subject improvement through maintenance",Tria 1440 nm home fractional laser,Closest published home-category study,"Different device wavelength geometry schedule and endpoint; uncontrolled design prevents effect attribution",https://pubmed.ncbi.nlm.nih.gov/22386051/
fractional-laser,26727154,2016,Geronemus R et al. Treatment system with a 1440 nm fractional nonablative laser,"Evaluator-blinded randomized split-face study; laser given to the entire face","49 women enrolled; 43 completed main 12-week treatment phase",Tria 1440 nm whole face at least 5 times weekly for 12 weeks plus antioxidant system on one randomized side,Laser alone on the contralateral side,"Both sides improved from baseline; randomized comparison favored the adjunct for selected endpoints",Tria 1440 nm at least 5 times weekly for 12 weeks,Direct device and schedule match,"No untreated or sham-laser control; strongly industry-linked; no Tria-versus-professional comparison",https://pubmed.ncbi.nlm.nih.gov/26727154/
led-wrinkle,40167796,2025,Bragato EF et al. PBM application frequency in facial rejuvenation,Randomized sham-controlled double-blind trial,"95 women aged 45-60; 4 weeks",660 +/- 10 nm mask; 6.4 mW/cm2; 8.05 J/cm2; 21 minutes; 2 or 3 sessions weekly,Sham twice weekly,"Selected image-derived wrinkle lengths and satisfaction favored active; main wrinkle scale did not separate; no meaningful 2-versus-3 weekly difference",PL300 red and NIR whole-body panel used 10 minutes daily,Indirect only,"Facial geometry wavelength mix treatment-plane irradiance fluence and weekly cadence are unverified",https://pubmed.ncbi.nlm.nih.gov/40167796/
led-wrinkle,36780572,2023,Photobiomodulation reduces periocular wrinkle volume by 30 percent,Randomized controlled trial,Facial rejuvenation participants,"Defined red and amber facial PBM protocols; 10 sessions over 4 weeks; 3.8 J/cm2",Within-person or controlled comparison,"Reported periocular wrinkle-volume reduction under the studied protocol",PL300 large panel,Indirect only,"Named local facial protocol cannot validate a high-output full-body panel schedule",https://pubmed.ncbi.nlm.nih.gov/36780572/
