id,name,group,goal,layer,score,human_studies,review_count,rct_count,endpoint_fit,transparency,home_translation,confidence,best_use,caveat,archive_route
photoprotection,Photoprotection + tinted sunscreen,foundation,pigment,barrier,96,80,18,34,98,90,high,Established,Prevent pigment relapse and photoaging,Tint and visible-light claims remain formula- and exposure-specific,13_combined_skincare_regimen/index.html
retinoids,Retinoids,ingredient,photoaging|acne,epidermis,94,120,28,55,95,86,mixed,Established,Photoaging and acne maintenance,Prescription strength and tolerability differ from cosmetic retinol,13_combined_skincare_regimen/index.html
acne-actives,Acne actives,ingredient,acne,follicle,93,150,35,70,96,90,high,Established,Lesion reduction with established topical classes,Products and combinations vary; irritation affects adherence,13_combined_skincare_regimen/index.html
fractional-laser,Fractional laser resurfacing,device,texture|scars|pigment,dermal-matrix,91,110,26,45,94,78,low,Established,Texture and atrophic-scar remodeling,Clinic parameters do not transfer to home devices,03_fractional_laser_resurfacing/index.html
microneedling,Microneedling,procedure,texture|scars,dermal-matrix,87,60,14,27,91,75,mixed,Established,Atrophic scars and facial rejuvenation,"Depth, sterility, and technique drive risk and result",10_microneedling_collagen_induction/index.html
hair-laser,Diode / alexandrite / Nd:YAG hair lasers,device,hair,follicle,87,100,22,40,95,82,mixed,Established,Durable reduction of suitable pigmented hair,"Skin tone, hair color, fluence, and maintenance matter",02_diode_laser_hair_removal/index.html
rf,Radiofrequency tightening,device,laxity|texture,dermis,85,70,15,25,88,72,mixed,Established,Selected mild laxity and skin-quality endpoints,Heating history and device feedback are often undisclosed,07_radio_frequency_skin_tightening/index.html
led-wrinkle,Red LED / PBM for facial aging,device,photoaging|recovery,dermis,82,42,12,17,83,74,high,Moderate,Low-downtime adjunct for wrinkle and skin-quality goals,Dose and wavelength are product-specific; effects are modest,04_red_light_therapy_handheld/index.html
ipl-hair,Home IPL hair removal,device,hair,follicle,81,40,9,18,91,65,high,Moderate,Hair reduction for selected home users,Does not establish pigment or rejuvenation efficacy,01_ipl_hair_removal/index.html
azelaic,Azelaic acid,ingredient,acne|pigment,epidermis,80,45,10,18,90,80,high,Moderate,"Acne, redness, and pigment support",Concentration and diagnosis determine fit,13_combined_skincare_regimen/index.html
vitamin-c,Vitamin C / L-ascorbic acid,ingredient,photoaging|pigment,epidermis,79,54,12,21,86,73,high,Moderate,Antioxidant and pigment adjunct,"Stability, pH, vehicle, and packaging matter",08_vitamin_c_serums/index.html
rf-microneedling,RF microneedling,procedure,scars|laxity|texture,dermal-matrix,79,38,9,17,85,70,low,Moderate,Scar remodeling and selected tightening,"Energy, depth, and needle geometry are device-specific",10_microneedling_collagen_induction/index.html
hifu,MFU / HIFU tightening,device,laxity,deep-tissue,77,45,10,12,82,72,low,Moderate,Selected laxity and contour endpoints,Home “HIFU” devices are not automatically MFU-V equivalents,11_hifu_skin_tightening/index.html
