study_id,study_name,goal,time_months,endpoint,assessor,arm,rate_pct,numerator,denominator,ci_low,ci_high,evidence_class,caveat
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,1,"Any GAIS improvement in both cheeks",treating investigator,Sculptra,68.1,64,94,57.7,77.3,"randomized controlled; unblinded assessor","Global rating; no concurrent control GAIS collected until month 7"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,2,"Any GAIS improvement in both cheeks",treating investigator,Sculptra,89.7,78,87,81.3,95.2,"randomized controlled; unblinded assessor","Global rating; no concurrent control GAIS collected until month 7"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,3,"Any GAIS improvement in both cheeks",treating investigator,Sculptra,96.3,78,81,89.6,99.2,"randomized controlled; unblinded assessor","Global rating; no concurrent control GAIS collected until month 7"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,7,"At least 1-grade GCWS improvement in both cheeks",blinded live evaluator,Sculptra,66.2,51,77,54.6,76.6,"randomized controlled; blinded secondary endpoint","Observed-case analysis"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,7,"At least 1-grade GCWS improvement in both cheeks",blinded live evaluator,no treatment,38.6,17,44,24.4,54.5,"randomized controlled; blinded secondary endpoint","Observed-case analysis"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,7,"Any GAIS improvement in both cheeks",treating investigator,Sculptra,96.1,74,77,89.0,99.2,"randomized controlled; unblinded assessor","Global rating"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,7,"Any GAIS improvement in both cheeks",treating investigator,no treatment,6.8,3,44,1.4,18.7,"randomized controlled; unblinded assessor","Global rating"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,9,"Any GAIS improvement in both cheeks",treating investigator,Sculptra,92.9,79,85,85.3,97.4,"randomized controlled; unblinded assessor","Global rating"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,9,"Any GAIS improvement in both cheeks",treating investigator,no treatment,4.4,2,45,0.5,15.2,"randomized controlled; unblinded assessor","Global rating"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,9,"At least 1-grade GCWS improvement in both cheeks",blinded live evaluator,Sculptra,70.6,60,85,59.7,80.0,"randomized controlled; blinded secondary endpoint","Observed-case analysis"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,9,"At least 1-grade GCWS improvement in both cheeks",blinded live evaluator,no treatment,31.1,14,45,18.2,46.6,"randomized controlled; blinded secondary endpoint","Observed-case analysis"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,12,"At least 1-grade GCWS improvement in both cheeks",blinded live evaluator,Sculptra,70.7,,,61.1,80.4,"randomized controlled; blinded primary endpoint","Multiple-imputation estimate; observed cases 63/88 (71.6%)"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,12,"At least 1-grade GCWS improvement in both cheeks",blinded live evaluator,no treatment,25.9,,,13.4,38.3,"randomized controlled; blinded primary endpoint","Multiple-imputation estimate; observed cases 12/46 (26.1%)"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,12,"Any GAIS improvement in both cheeks",treating investigator,Sculptra,94.3,83,88,87.2,98.1,"randomized controlled; unblinded assessor","Global rating"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,12,"Any GAIS improvement in both cheeks",treating investigator,no treatment,4.3,2,46,0.5,14.8,"randomized controlled; unblinded assessor","Global rating"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,1,"Any GAIS improvement in both cheeks",subject,Sculptra,57.4,54,94,46.8,67.6,"randomized controlled; patient reported","Global rating; no concurrent control GAIS collected until month 7"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,2,"Any GAIS improvement in both cheeks",subject,Sculptra,79.3,69,87,69.3,87.3,"randomized controlled; patient reported","Global rating; no concurrent control GAIS collected until month 7"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,3,"Any GAIS improvement in both cheeks",subject,Sculptra,88.9,72,81,80.0,94.8,"randomized controlled; patient reported","Global rating; no concurrent control GAIS collected until month 7"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,7,"Any GAIS improvement in both cheeks",subject,Sculptra,93.5,72,77,85.5,97.9,"randomized controlled; patient reported","Global rating"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,7,"Any GAIS improvement in both cheeks",subject,no treatment,7.0,3,43,1.5,19.1,"randomized controlled; patient reported","Global rating"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,9,"Any GAIS improvement in both cheeks",subject,Sculptra,89.4,76,85,80.9,95.0,"randomized controlled; patient reported","Global rating"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,9,"Any GAIS improvement in both cheeks",subject,no treatment,6.8,3,44,1.4,18.7,"randomized controlled; patient reported","Global rating"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,12,"Any GAIS improvement in both cheeks",subject,Sculptra,92.0,81,88,84.3,96.7,"randomized controlled; patient reported","Global rating"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,12,"Any GAIS improvement in both cheeks",subject,no treatment,6.5,3,46,1.4,17.9,"randomized controlled; patient reported","Global rating"
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,12,"Correctly identify month-12 photograph",independent photographic reviewer,Sculptra,37.0,,,,,"randomized controlled; blinded photo review","2D photo discrimination; denominator not reported in SSED summary"
