record_id,pmid,doi,pmcid,year,title,journal,authors,open_access,full_text_available,source_query,europe_pmc_url
27271600,27271600,10.3390/ijms17060868,PMC4926402,2016,Role of Matrix Metalloproteinases in Photoaging and Photocarcinogenesis.,,"Pittayapruek P, Meephansan J, Prapapan O, Komine M, Ohtsuki M.",Y,,photoaging,https://europepmc.org/article/MED/27271600
17643966,17643966,10.1016/j.jdermsci.2007.05.018,,2007,Wound healing effect of adipose-derived stem cells: a critical role of secretory factors on human dermal fibroblasts.,,"Kim WS, Park BS, Sung JH, Yang JM, Park SB, Kwak SJ, Park JS.",N,,photoaging,https://europepmc.org/article/MED/17643966
25653189,25653189,10.1016/j.arr.2015.01.001,,2015,Oxidation events and skin aging.,,"Kammeyer A, Luiten RM.",N,,photoaging,https://europepmc.org/article/MED/25653189
19675548,19675548,10.1038/jidsymp.2009.8,PMC2909639,2009,Matrix-degrading metalloproteinases in photoaging.,,"Quan T, Qin Z, Xia W, Shao Y, Voorhees JJ, Fisher GJ.",N,,photoaging,https://europepmc.org/article/MED/19675548
30235459,30235459,10.1159/000491755,,2018,Antioxidant Properties of Ferulic Acid and Its Possible Application.,,"Zduńska K, Dana A, Kolodziejczak A, Rotsztejn H.",N,,photoaging,https://europepmc.org/article/MED/30235459
32028245,32028245,10.1016/j.watres.2020.115564,,2020,Long-term phototransformation of microplastics under simulated sunlight irradiation in aquatic environments: Roles of reactive oxygen species.,,"Zhu K, Jia H, Sun Y, Dai Y, Zhang C, Guo X, Wang T, Zhu L.",N,,photoaging,https://europepmc.org/article/MED/32028245
23783059,23783059,10.1097/prs.0b013e31829fe1b0,,2013,Nanofat grafting: basic research and clinical applications.,,"Tonnard P, Verpaele A, Peeters G, Hamdi M, Cornelissen M, Declercq H.",N,,photoaging,https://europepmc.org/article/MED/23783059
25561721,25561721,10.1101/cshperspect.a015370,PMC4292080,2015,Natural and sun-induced aging of human skin.,,"Rittié L, Fisher GJ.",N,,photoaging,https://europepmc.org/article/MED/25561721
31246433,31246433,10.1021/acs.est.9b01474,,2019,Formation of Environmentally Persistent Free Radicals on Microplastics under Light Irradiation.,,"Zhu K, Jia H, Zhao S, Xia T, Guo X, Wang T, Zhu L.",N,,photoaging,https://europepmc.org/article/MED/31246433
16781287,16781287,10.1016/j.jaad.2005.05.010,,2006,Photoaging: mechanisms and repair.,,"Rabe JH, Mamelak AJ, McElgunn PJ, Morison WL, Sauder DN.",N,,photoaging,https://europepmc.org/article/MED/16781287
33238152,33238152,10.1016/j.devcel.2020.11.002,,2021,A Single-Cell Transcriptomic Atlas of Human Skin Aging.,,"Zou Z, Long X, Zhao Q, Zheng Y, Song M, Ma S, Jing Y, Wang S, He Y, Esteban CR, Yu N, Huang J, Chan P, Chen T, Izpisua Belmonte JC, Zhang W, Qu J, Liu GH.",N,,photoaging,https://europepmc.org/article/MED/33238152
18046911,18046911,10.2147/ciia.2006.1.4.327,PMC2699641,2006,Retinoids in the treatment of skin aging: an overview of clinical efficacy and safety.,,"Mukherjee S, Date A, Patravale V, Korting HC, Roeder A, Weindl G.",Y,,photoaging,https://europepmc.org/article/MED/18046911
19338976,19338976,10.1016/j.asj.2005.09.012,,2006,The anatomy of the aging face: volume loss and changes in 3-dimensional topography.,,"Coleman SR, Grover R.",N,,photoaging,https://europepmc.org/article/MED/19338976
18423256,18423256,10.1016/j.jaad.2008.01.003,,2008,"The spectrum of laser skin resurfacing: nonablative, fractional, and ablative laser resurfacing.",,"Alexiades-Armenakas MR, Dover JS, Arndt KA.",N,,photoaging,https://europepmc.org/article/MED/18423256
30287361,30287361,10.1016/j.ijbiomac.2018.09.188,,2018,"Hyaluronic acid, a promising skin rejuvenating biomedicine: A review of recent updates and pre-clinical and clinical investigations on cosmetic and nutricosmetic effects.",,"Bukhari SNA, Roswandi NL, Waqas M, Habib H, Hussain F, Khan S, Sohail M, Ramli NA, Thu HE, Hussain Z.",N,,photoaging,https://europepmc.org/article/MED/30287361
28109890,28109890,10.1016/j.freeradbiomed.2017.01.029,,2017,Sunlight damage to cellular DNA: Focus on oxidatively generated lesions.,,"Schuch AP, Moreno NC, Schuch NJ, Menck CFM, Garcia CCM.",N,,photoaging,https://europepmc.org/article/MED/28109890
22318388,22318388,10.1038/jid.2011.476,,2012,Irradiation of skin with visible light induces reactive oxygen species and matrix-degrading enzymes.,,"Liebel F, Kaur S, Ruvolo E, Kollias N, Southall MD.",N,,photoaging,https://europepmc.org/article/MED/22318388
26783703,26783703,10.3390/antiox4020248,PMC4665475,2015,"Mechanisms of Photoaging and Cutaneous Photocarcinogenesis, and Photoprotective Strategies with Phytochemicals.",,"Bosch R, Philips N, Suárez-Pérez JA, Juarranz A, Devmurari A, Chalensouk-Khaosaat J, González S.",Y,,photoaging,https://europepmc.org/article/MED/26783703
28441605,28441605,10.1016/j.jphotobiol.2017.04.014,PMC5505738,2017,Biological effects and medical applications of infrared radiation.,,"Tsai SR, Hamblin MR.",N,,photoaging,https://europepmc.org/article/MED/28441605
30813433,30813433,10.3390/nu11020474,PMC6412948,2019,"A Review of the Role of Green Tea (<i>Camellia sinensis</i>) in Antiphotoaging, Stress Resistance, Neuroprotection, and Autophagy.",,"Prasanth MI, Sivamaruthi BS, Chaiyasut C, Tencomnao T.",Y,,photoaging,https://europepmc.org/article/MED/30813433
35748903,35748903,10.1007/s00011-022-01598-8,PMC9307547,2022,Photoaging: UV radiation-induced inflammation and immunosuppression accelerate the aging process in the skin.,,"Salminen A, Kaarniranta K, Kauppinen A.",Y,,photoaging,https://europepmc.org/article/MED/35748903
25234829,25234829,10.1111/exd.12388,,2014,"New insights in photoaging, UVA induced damage and skin types.",,"Battie C, Jitsukawa S, Bernerd F, Del Bino S, Marionnet C, Verschoore M.",N,,photoaging,https://europepmc.org/article/MED/25234829
22580543,22580543,10.1007/s00266-012-9904-3,PMC3404279,2012,Changes in the facial skeleton with aging: implications and clinical applications in facial rejuvenation.,,"Mendelson B, Wong CH.",Y,,photoaging,https://europepmc.org/article/MED/22580543
16936899,16936899,10.5507/bp.2006.003,,2006,Ultraviolet light induced alteration to the skin.,,"Svobodova A, Walterova D, Vostalova J.",N,,photoaging,https://europepmc.org/article/MED/16936899
31449388,31449388,10.1021/acsnano.9b04384,PMC7032013,2019,Needle-Free Injection of Exosomes Derived from Human Dermal Fibroblast Spheroids Ameliorates Skin Photoaging.,,"Hu S, Li Z, Cores J, Huang K, Su T, Dinh PU, Cheng K.",N,,photoaging,https://europepmc.org/article/MED/31449388
27148370,27148370,10.1155/2016/7370642,PMC4842382,2016,Ultraviolet Radiation-Induced Skin Aging: The Role of DNA Damage and Oxidative Stress in Epidermal Stem Cell Damage Mediated Skin Aging.,,"Panich U, Sittithumcharee G, Rathviboon N, Jirawatnotai S.",Y,,photoaging,https://europepmc.org/article/MED/27148370
18492142,18492142,10.1111/j.1467-2494.2006.00302.x,,2006,Ethnic skin types: are there differences in skin structure and function?,,Rawlings AV.,N,,photoaging,https://europepmc.org/article/MED/18492142
16532440,16532440,10.1002/lsm.20310,,2006,Fractional photothermolysis: current and future applications.,,Geronemus RG.,N,,photoaging,https://europepmc.org/article/MED/16532440
31864431,31864431,10.1016/j.jid.2019.11.003,,2020,Research Techniques Made Simple: Cutaneous Colorimetry: A Reliable Technique for Objective Skin Color Measurement.,,"Ly BCK, Dyer EB, Feig JL, Chien AL, Del Bino S.",N,,photoaging,https://europepmc.org/article/MED/31864431
24485530,24485530,10.1016/j.jaad.2013.11.038,,2014,Skin cancer and photoprotection in people of color: a review and recommendations for physicians and the public.,,"Agbai ON, Buster K, Sanchez M, Hernandez C, Kundu RV, Chiu M, Roberts WE, Draelos ZD, Bhushan R, Taylor SC, Lim HW.",N,,photoaging,https://europepmc.org/article/MED/24485530
18404866,18404866,,,2008,The role of elastin and collagen in cutaneous aging: intrinsic aging versus photoexposure.,,Uitto J.,N,,photoaging,https://europepmc.org/article/MED/18404866
30271665,30271665,10.14336/ad.2017.1121,PMC6147582,2018,Glycation Damage: A Possible Hub for Major Pathophysiological Disorders and Aging.,,"Fournet M, Bonté F, Desmoulière A.",Y,,photoaging,https://europepmc.org/article/MED/30271665
23027968,23027968,10.1073/pnas.1206851109,PMC3479513,2012,Solar UV radiation reduces the barrier function of human skin.,,"Biniek K, Levi K, Dauskardt RH.",N,,photoaging,https://europepmc.org/article/MED/23027968
18449026,18449026,10.1097/prs.0b013e31816de8d0,,2008,"Advances in facial rejuvenation: botulinum toxin type a, hyaluronic acid dermal fillers, and combination therapies--consensus recommendations.",,"Carruthers JDA, Glogau RG, Blitzer A, Facial Aesthetics Consensus Group Faculty.",N,,photoaging,https://europepmc.org/article/MED/18449026
22148008,22148008,10.5021/ad.2011.23.4.424,PMC3229934,2011,Can Platelet-rich Plasma Be Used for Skin Rejuvenation? Evaluation of Effects of Platelet-rich Plasma on Human Dermal Fibroblast.,,"Kim DH, Je YJ, Kim CD, Lee YH, Seo YJ, Lee JH, Lee Y.",Y,,photoaging,https://europepmc.org/article/MED/22148008
21915077,21915077,10.1097/prs.0b013e3182362b96,,2012,Aging changes of the midfacial fat compartments: a computed tomographic study.,,"Gierloff M, Stöhring C, Buder T, Gassling V, Açil Y, Wiltfang J.",N,,photoaging,https://europepmc.org/article/MED/21915077
28093316,28093316,10.1016/j.exger.2017.01.009,,2017,Molecular mechanisms of UVB-induced senescence of dermal fibroblasts and its relevance for photoaging of the human skin.,,"Cavinato M, Jansen-Dürr P.",N,,photoaging,https://europepmc.org/article/MED/28093316
28549948,28549948,10.1016/j.jconrel.2017.05.029,,2017,Microneedles in the clinic.,,"Bhatnagar S, Dave K, Venuganti VVK.",N,,photoaging,https://europepmc.org/article/MED/28549948
29890746,29890746,10.3390/ijms19061715,PMC6032439,2018,Exosomes Derived from Human Induced Pluripotent Stem Cells Ameliorate the Aging of Skin Fibroblasts.,,"Oh M, Lee J, Kim YJ, Rhee WJ, Park JH.",Y,,photoaging,https://europepmc.org/article/MED/29890746
34082382,34082382,10.1016/j.redox.2021.102022,PMC8182111,2021,Protease-activated receptor 2 induces ROS-mediated inflammation through Akt-mediated NF-κB and FoxO6 modulation during skin photoaging.,,"Bang E, Kim DH, Chung HY.",Y,,photoaging,https://europepmc.org/article/MED/34082382
31761958,31761958,10.1007/s11357-019-00113-y,PMC6925069,2019,"Topical rapamycin reduces markers of senescence and aging in human skin: an exploratory, prospective, randomized trial.",,"Chung CL, Lawrence I, Hoffman M, Elgindi D, Nadhan K, Potnis M, Jin A, Sershon C, Binnebose R, Lorenzini A, Sell C.",Y,,photoaging,https://europepmc.org/article/MED/31761958
33655657,33655657,10.1111/jocd.14033,PMC8597149,2021,The impact of ultraviolet radiation on skin photoaging - review of in vitro studies.,,"Gromkowska-Kępka KJ, Puścion-Jakubik A, Markiewicz-Żukowska R, Socha K.",Y,,photoaging,https://europepmc.org/article/MED/33655657
29981751,29981751,10.1016/j.jaad.2018.06.033,,2019,Review of environmental effects of oxybenzone and other sunscreen active ingredients.,,"Schneider SL, Lim HW.",N,,photoaging,https://europepmc.org/article/MED/29981751
32113941,32113941,10.1016/j.ejca.2020.01.007,,2020,"European interdisciplinary guideline on invasive squamous cell carcinoma of the skin: Part 1. epidemiology, diagnostics and prevention.",,"Stratigos AJ, Garbe C, Dessinioti C, Lebbe C, Bataille V, Bastholt L, Dreno B, Fargnoli MC, Forsea AM, Frenard C, Harwood CΑ, Hauschild A, Hoeller C, Kandolf-Sekulovic L, Kaufmann R, Kelleners-Smeets NW, Malvehy J, Del Marmol V, Middleton MR, Moreno-Ramirez D, Pellecani G, Peris K, Saiag P, van den Beuken-van Everdingen MHJ, Vieira R, Zalaudek I, Eggermont AMM, Grob JJ, European Dermatology Forum (EDF), the European Association of Dermato-Oncology (EADO) and the European Organization for Research and Treatment of Cancer (EORTC).",N,,photoaging,https://europepmc.org/article/MED/32113941
24406591,24406591,10.1097/01.scs.0000436746.21031.ba,,2014,Adipose-derived stromal vascular fraction cells and platelet-rich plasma: basic and clinical evaluation for cell-based therapies in patients with scars on the face.,,"Gentile P, De Angelis B, Pasin M, Cervelli G, Curcio CB, Floris M, Di Pasquali C, Bocchini I, Balzani A, Nicoli F, Insalaco C, Tati E, Lucarini L, Palla L, Pascali M, De Logu P, Di Segni C, Bottini DJ, Cervelli V.",N,,photoaging,https://europepmc.org/article/MED/24406591
20166155,20166155,10.1002/lsm.20877,,2010,Intense pulsed light (IPL): a review.,,"Babilas P, Schreml S, Szeimies RM, Landthaler M.",N,,photoaging,https://europepmc.org/article/MED/20166155
17250543,17250543,10.1111/j.1600-0749.2006.00358.x,,2007,Regulation of human skin pigmentation and responses to ultraviolet radiation.,,"Miyamura Y, Coelho SG, Wolber R, Miller SA, Wakamatsu K, Zmudzka BZ, Ito S, Smuda C, Passeron T, Choi W, Batzer J, Yamaguchi Y, Beer JZ, Hearing VJ.",N,,photoaging,https://europepmc.org/article/MED/17250543
23820721,23820721,10.1038/skinbio.2013.176,,2013,Photoaging.,,Gilchrest BA.,N,,photoaging,https://europepmc.org/article/MED/23820721
24159392,24159392,10.1155/2013/930164,PMC3789494,2013,Skin photoaging and the role of antioxidants in its prevention.,,"Pandel R, Poljšak B, Godic A, Dahmane R.",Y,,photoaging,https://europepmc.org/article/MED/24159392
18349665,18349665,10.1097/01.prs.0000304612.72899.02,,2008,"Percutaneous collagen induction therapy: an alternative treatment for scars, wrinkles, and skin laxity.",,"Aust MC, Fernandes D, Kolokythas P, Kaplan HM, Vogt PM.",N,,photoaging,https://europepmc.org/article/MED/18349665
33673711,33673711,10.3390/ijms22052410,PMC7957487,2021,Applications of Mesenchymal Stem Cells in Skin Regeneration and Rejuvenation.,,"Jo H, Brito S, Kwak BM, Park S, Lee MG, Bin BH.",Y,,photoaging,https://europepmc.org/article/MED/33673711
29285880,29285880,10.1111/pcmr.12684,,2018,"Melasma, a photoaging disorder.",,"Passeron T, Picardo M.",N,,photoaging,https://europepmc.org/article/MED/29285880
16881964,16881964,10.1111/j.1600-0625.2006.00466.x,,2006,Botanical antioxidants in the prevention of photocarcinogenesis and photoaging.,,"Afaq F, Mukhtar H.",N,,photoaging,https://europepmc.org/article/MED/16881964
30321638,30321638,10.1016/j.ijbiomac.2018.10.049,,2019,Modified hyaluronic acid based materials for biomedical applications.,,"Tiwari S, Bahadur P.",N,,photoaging,https://europepmc.org/article/MED/30321638
28038885,28038885,10.1016/j.jaad.2016.09.038,,2017,Ultraviolet radiation and the skin: Photobiology and sunscreen photoprotection.,,"Young AR, Claveau J, Rossi AB.",N,,photoaging,https://europepmc.org/article/MED/28038885
34387824,34387824,10.1007/s40257-021-00632-5,PMC8361399,2021,Sunscreens and Photoaging: A Review of Current Literature.,,"Guan LL, Lim HW, Mohammad TF.",Y,,photoaging,https://europepmc.org/article/MED/34387824
30174780,30174780,10.1155/2018/1454936,PMC6098906,2018,Antioxidants from Plants Protect against Skin Photoaging.,,"Petruk G, Del Giudice R, Rigano MM, Monti DM.",Y,,photoaging,https://europepmc.org/article/MED/30174780
27378089,27378089,10.1016/j.jdermsci.2016.05.016,,2016,Glycosaminoglycan and proteoglycan in skin aging.,,"Lee DH, Oh JH, Chung JH.",N,,photoaging,https://europepmc.org/article/MED/27378089
25351668,25351668,10.1111/phpp.12145,,2015,Mechanisms and treatments of photoaging.,,"Poon F, Kang S, Chien AL.",N,,photoaging,https://europepmc.org/article/MED/25351668
