formula_id,product,brand,volume_ml,retail_usd,peptide_ingredient_count,adjacent_nonpeptide_count,source_anchored_amount_lines,source_anchored_amount_coverage_pct,context_supported_amount_lines,context_supported_amount_coverage_pct,estimated_active_mg_low,estimated_active_mg_base,estimated_active_mg_high,estimated_purchased_technology_pct_low,estimated_purchased_technology_pct_base,estimated_purchased_technology_pct_high,estimated_purchased_technology_g_low,estimated_purchased_technology_g_base,estimated_purchased_technology_g_high,retail_usd_per_estimated_active_mg,retail_usd_per_purchased_technology_g,retail_usd_per_ml,formula_confidence,source_url,technology_amount_basis,audit_finding,notes
to_argireline,Argireline Solution 10%,The Ordinary,30,9.70,1,0,1,100.0,1,100.0,1.5,1.5,1.5,10,10,10,3,3,3,6.46667,3.23333,0.323333,medium,https://theordinary.com/en-us/argireline-solution-10-serum-100403.html,published 10% ARGIRELINE-solution headline,No peptide-identity omission found in the current source used for this row.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
to_matrixyl,Matrixyl 10% + HA,The Ordinary,30,10.90,3,0,0,0.0,3,100.0,0.285,0.57,0.735,10,10,10,3,3,3,19.1228,3.63333,0.363333,medium,https://theordinary.com/en-us/matrixyl-10-ha-serum-100431.html,published 10% total peptide-technology headline; 6/4 split modeled,No peptide-identity omission found in the current source used for this row.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
to_multi_ha,Multi-Peptide + HA Serum,The Ordinary,30,19.90,7,0,0,0.0,5,71.4,1.4325,5.535,26.76,5,14,25.1,1.5,4.2,7.53,3.5953,4.7381,0.663333,low,https://theordinary.com/en-us/multi-peptide-ha-serum-100613.html,current loading undisclosed; base uses typical supplier rates; 25.1% is a historical technology claim used only as the high case,Seven current peptide INCI lines retained; historical 25.1% technology claim is not treated as current dose.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
to_copper,Multi-Peptide + Copper Peptides 1%,The Ordinary,30,32.00,8,0,1,12.5,6,75.0,301.298,304.185,313.26,6,15,26.1,1.8,4.5,7.83,0.105199,7.11111,1.06667,low,https://theordinary.com/en-us/multi-peptide-copper-peptides-1-serum-100625.html,1% copper-peptide headline plus the Multi-Peptide technology scenario,Eight current peptide INCI lines retained; 1% headline is kept separate from pure-active equivalence.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
to_gf15,GF 15% Solution,The Ordinary,30,15.50,3,0,0,0.0,3,100.0,0.009,0.09,0.9,15,15,15,4.5,4.5,4.5,172.222,3.44444,0.516667,low,https://theordinary.com/en-us/gf-15-solution-growth-factors-serum-100702.html,published 15% total growth-factor solution,Replaced generic growth-factor label with the three current Nicotiana-derived INCI names.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
gm_super,Super Peptide Serum,Good Molecules,30,12.00,3,0,3,100.0,3,100.0,1.65,1.65,1.65,0.0055,0.0055,0.0055,0.00165,0.00165,0.00165,7.27273,7272.73,0.4,high,https://v1.goodmolecules.com/products/super-peptide-serum,published 25/25/5 ppm pure-active total; no separate commercial-input rate disclosed,No peptide-identity omission found in the current source used for this row.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
gm_copper_pdrn,Copper Peptide Serum with PDRN,Good Molecules,30,12.00,3,1,1,33.3,1,33.3,30.024,30.24,32.4,0.12,0.31,0.75,0.036,0.093,0.225,0.396825,129.032,0.4,low,https://www.goodmolecules.com/s/good-molecules-copper-peptide-serum-with-pdrn-30ml,independent 0.1% copper and 0.2% PDRN index plus modeled minor peptide inputs,Added Caprooyl Tetrapeptide-3 and Tridecapeptide-1; Sodium DNA is adjacent PDRN and excluded from peptide-mass totals.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
gng_power,Power Peptides,Geek & Gorgeous,30,18.80,6,0,4,66.7,6,100.0,3.04506,3.0456,3.051,9.001,9.001,9.001,2.7003,2.7003,2.7003,6.17284,6.96219,0.626667,high,https://geekandgorgeous.com/products/power-peptides,published 3% + 2% + 4% + 0.001% commercial technologies,Expanded X50 into both Copper Palmitoyl Heptapeptide-14 and Heptapeptide-15 Palmitate.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,18,0,1,5.6,1,5.6,900.127,900.975,909.75,16,16,16,4.8,4.8,4.8,0.0543855,10.2083,1.63333,medium,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide,published 3% copper peptide plus 13% additional peptide complex,Expanded the current North American formula to 18 peptide-like lines; formula differs by region.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
theramid_derma,Derma-Peptides 35%,Theramid,30,36.00,13,0,3,23.1,13,100.0,0.7815,3.765,18.6,35,35,35,10.5,10.5,10.5,9.56175,3.42857,1.2,medium,https://nichebeautylab.com/collections/serums/products/derma-peptides,published nine-technology total,Expanded the nine commercial technologies into 13 current INCI peptide/protein lines.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
medik8_advanced,Liquid Peptides Advanced MP,Medik8,30,95.00,13,0,0,0.0,0,0.0,0.10683,1.0683,10.683,30,30,30,9,9,9,88.9263,10.5556,3.16667,medium,https://us.medik8.com/products/liquid-peptides-advanced-mp,published 30% multi-peptide complex,Expanded the 30% complex into 13 current peptide/protein INCI lines.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
paulas_choice,Pro-Collagen Multi-Peptide Booster,Paula's Choice,20,59.00,6,0,0,0.0,0,0.0,0.054,0.54,5.4,1,4,8,0.2,0.8,1.6,109.259,73.75,2.95,low,https://www.paulaschoice.co.uk/pro-collagen-multi-peptide-booster/m3020.html,six named peptide materials; total technology loading undisclosed,Expanded the generic six-peptide label into all six current INCI identities.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
naturium,Multi-Peptide Advanced Serum,Naturium,30,25.00,3,0,0,0.0,0,0.0,0.369,3.39,18.9,0.1,0.5,1,0.03,0.15,0.3,7.37463,166.667,0.833333,low,https://naturium.com/products/multi-peptide-advanced-serum,three late-list peptide materials; total loading undisclosed,No peptide-identity omission found in the current source used for this row.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
minimalist,Multi-Peptides 10%,Minimalist,30,12.99,7,0,2,28.6,7,100.0,0.3165,0.33,0.465,10,10,10,3,3,3,39.3636,4.33,0.433,medium,https://www.ulta.com/p/multi-peptides-10-anti-aging-face-serum-reduces-fine-lines-wrinkles-mkt77005961,published 7% Matrixyl 3000 plus 3% Bio-Placenta complex,Expanded Bio-Placenta into five growth-factor INCI lines plus the two Matrixyl 3000 peptides.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
inkey,Collagen Peptide Serum,The INKEY List,30,17.00,4,0,2,50.0,2,50.0,0.063,0.225,1.845,2,2,2,0.6,0.6,0.6,75.5556,28.3333,0.566667,medium,https://uk.theinkeylist.com/collections/myinkey-loyalty-points/products/collagen-peptide-serum,published 1% Matrixyl 3000 plus 1% SYN-TACKS,Added both SYN-TACKS component INCI lines; four peptide lines total.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
timeless_m3000,Matrixyl 3000 Serum,Timeless,30,27.95,2,0,2,100.0,2,100.0,0.36,0.36,0.36,8,8,8,2.4,2.4,2.4,77.6389,11.6458,0.931667,medium,https://www.timelessha.com/products/matrixyl-3000-serum-1-oz,published 8% Matrixyl 3000,No peptide-identity omission found in the current source used for this row.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
timeless_s6,Matrixyl Synthe'6 Serum,Timeless,30,28.95,1,0,1,100.0,1,100.0,0.15,0.15,0.15,2,2,2,0.6,0.6,0.6,193,48.25,0.965,medium,https://www.timelessha.com/products/matrixyl-synthe6-serum-1-oz,published 2% Matrixyl Synthe'6,No peptide-identity omission found in the current source used for this row.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
cosrx_blue,Blue Peptide Bakuchiol Plump Glow Serum,COSRX,50,27.00,6,0,0,0.0,0,0.0,0.5425,5.425,29.25,0.1,0.6,2,0.05,0.3,1,4.97696,90,0.54,low,https://www.cosrx.com/collections/new/products/cosrx-the-blue-peptide-bakuchiol-plump-glow-serum,six undisclosed peptides; manufacturer-use-rate and INCI-position scenario,Expanded the six-peptide claim into the six current INCI identities.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
cosrx_six,The 6 Peptide Skin Booster Serum,COSRX,150,25.00,6,0,0,0.0,0,0.0,10.77,47.7,237,0.15,1,4,0.225,1.5,6,0.524109,16.6667,0.166667,low,https://www.cosrx.com/products/the-6-peptide-skin-booster-serum,six undisclosed peptides; manufacturer-use-rate scenario constrained below the preceding niacinamide line,Expanded the six-peptide claim into the six current INCI identities.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
dermae,Advanced Peptides & Flora-Collagen Serum,DERMA E,30,31.95,2,0,0,0.0,0,0.0,0.33,1.8,9,0.05,0.5,2,0.015,0.15,0.6,17.75,213,1.065,low,https://dermae.com/products/advanced-peptides-and-flora-collagen-serum,two undisclosed peptide inputs; manufacturer-use-rate scenario,No peptide-identity omission found in the current source used for this row.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
drunk_elephant,Protini Polypeptide Cream,Drunk Elephant,50,72.00,9,0,0,0.0,0,0.0,0.552,5.52,30.2,0.1,0.8,3,0.05,0.4,1.5,13.0435,180,1.44,low,https://www.drunkelephant.com/protini-polypeptide-cream-50-ml-856556004739.html,nine undisclosed peptide/protein inputs; low-dose growth-factor scenario,Expanded the blend into nine peptide/protein INCI lines.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
peach_lily,Copper Peptide Pro Firming Serum,Peach & Lily,30,49.00,13,0,1,7.7,1,7.7,60.738,65.88,109.8,0.22,0.5,1.5,0.066,0.15,0.45,0.743777,326.667,1.63333,high,https://www.peachandlily.com/products/copper-peptide-pro-firming-serum,published 0.2% copper-peptide headline plus twelve undisclosed peptide inputs,Added the twelve peptides omitted by the prior copper-only row; 13 current peptide lines total.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
niod_cais3,CAIS3 Copper Amino Isolate Serum 3 1:1,NIOD,15,74.00,6,0,2,33.3,2,33.3,300.24,302.4,324,2,2.05,2.5,0.3,0.3075,0.375,0.244709,240.65,4.93333,high,https://niod.com/en-cv/copper-amino-isolate-serum-3-11-cais3-serum-100368.html,published 1% GHK-Cu + 1% GHK plus four undisclosed peptide inputs,Added Tripeptide-29 and preserved Trifluoroacetyl Tripeptide-2 instead of collapsing it to Tripeptide-2.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
allies_copper,Copper Tripeptide & Ectoin Advanced Repair Serum,Allies of Skin,30,199.00,2,0,0,0.0,2,100.0,0.6,4.5,33,3,3,3,0.9,0.9,0.9,44.2222,221.111,6.63333,medium,https://us.allies.shop/products/copper-tripeptide-ectoin-advanced-repair-serum,published 1% opaque copper-tripeptide complex + 2% AHP-8 complex; current INCI does not confirm GHK-Cu,"Current INCI does not visibly contain Copper Tripeptide-1; the 1% headline remains an opaque complex, not assumed GHK-Cu.",Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
qa_multi,Multi-Peptide Facial Serum,Q+A,30,13.00,4,0,2,50.0,2,50.0,0.375,1.935,9.225,1.2,3.2,5.5,0.36,0.96,1.65,6.71835,13.5417,0.433333,low,https://us.qandaskin.com/products/multi-peptide-facial-serum,modeled 1/3/5% Matrixyl-like input plus minor peptide solutions,No peptide-identity omission found in the current source used for this row.,Pure-active mass is not efficacy-equivalent across peptides; purchased-technology mass includes carriers and complexes. Estimates never use finished-product retail price as an input.
