# Seller inventory snapshot compiled from the user-supplied eBay seller-results capture on 2026-07-24.
# Seller: hunlar-39 | feedback: 94.3% positive (66) | items sold: 130 | followers: 5
# All 17 listings were Buy It Now / Best Offer. Prices and availability are volatile.
# A listing becoming unavailable does not by itself prove a sale; verify with eBay's sold/completed state, seller feedback, or a relisted item ID.
snapshot_date	seller	item_id	title	condition	asking_price_usd	shipping_usd	status_at_snapshot	canonical_url	notes
2026-07-24	hunlar-39	137526491564	Tria Beauty Hair Removal Laser LHR 4.0 W/ Charger	Pre-Owned	74.99	15.16	active	"https://www.ebay.com/itm/137526491564"	Tracked Tria candidate
2026-07-24	hunlar-39	137527690367	Zoom H1essential Handy Digital Recorder 32-Bit Float Stereo Handheld USB	Pre-Owned	84.99	6.07	active	"https://www.ebay.com/itm/137527690367"	
2026-07-24	hunlar-39	137527706574	Anki Cozmo Robot For STEM - Model #000-00048 - Robot	Pre-Owned	29.99	9.42	active	"https://www.ebay.com/itm/137527706574"	
2026-07-24	hunlar-39	137404900129	Sony ECM-NV1 Electret Condenser Shotgun Mic Microphone With Foam	Pre-Owned	27.99	6.07	active	"https://www.ebay.com/itm/137404900129"	
2026-07-24	hunlar-39	137249860075	Apple Magic Mouse 2 Wireless Mouse - White (A1657)	Pre-Owned	17.99	6.07	active	"https://www.ebay.com/itm/137249860075"	
2026-07-24	hunlar-39	137082355424	Hatsune Miku Figure GT Project Racing Miku 2017 Ver. Figure Incomplete	Pre-Owned	19.99	9.42	active	"https://www.ebay.com/itm/137082355424"	Seller describes figure as incomplete
2026-07-24	hunlar-39	137151787660	Set Of 2 Pelican 07X-XB Spirit Wireless Clear Controller & Dongles (Untested)	Pre-Owned	18.99	6.07	active	"https://www.ebay.com/itm/137151787660"	Seller describes set as untested
2026-07-24	hunlar-39	137181636878	Snap-on Tools SDDP31 #1 Phillips Red Hard Handle Screwdriver USA	Pre-Owned	19.99	6.07	active	"https://www.ebay.com/itm/137181636878"	
2026-07-24	hunlar-39	137029085781	Pakedge WA-4200 802.11AC 4x4 Wave 2 Access Point WAP No Power Supply	Pre-Owned	16.99	9.69	active	"https://www.ebay.com/itm/137029085781"	No power supply in title
2026-07-24	hunlar-39	137389646722	Sony Walkman WM-FX22 FM/AM Portable Cassette Tape Player	Pre-Owned	35.99	6.72	active	"https://www.ebay.com/itm/137389646722"	
2026-07-24	hunlar-39	137209244133	Pioneer CLD-909 Compact Disc / Laservision (Laserdisc) Player	Pre-Owned	99.99	119.79	active	"https://www.ebay.com/itm/137209244133"	
2026-07-24	hunlar-39	137085084385	EPOS Adapt 360 Over-Ear Noise-Cancelling Wireless Bluetooth Headset 1000209	Pre-Owned	29.99	9.69	active	"https://www.ebay.com/itm/137085084385"	
2026-07-24	hunlar-39	137169743333	Sony WH-CH700N Wireless Bluetooth NFC Noise Canceling Headphones	Pre-Owned	23.99	9.94	active	"https://www.ebay.com/itm/137169743333"	
2026-07-24	hunlar-39	137118273486	Lot Of 5 Nintendo DS Games Cases Only No Game Super Mario Bros, Diddy Kong Etc	Pre-Owned	12.99	9.42	active	"https://www.ebay.com/itm/137118273486"	Cases only; no games
2026-07-24	hunlar-39	137227611829	Carhartt Mens Canvas Utility Work Shorts Size 38 Brown Loose Fit B147 LBR	Pre-Owned	17.99	9.94	active	"https://www.ebay.com/itm/137227611829"	
2026-07-24	hunlar-39	137227612907	New Lot Of 2 Tilia Food Saver 3-1/4 Quart + 1 Quart Vacuum Seal Canisters	Brand New	34.99	6.07	active	"https://www.ebay.com/itm/137227612907"	
2026-07-24	hunlar-39	137118182296	Sony HT-S100F 2.1-Ch Soundbar with Built-In Subwoofer Bluetooth ARC Working	Pre-Owned	39.99	36.55	active	"https://www.ebay.com/itm/137118182296"	Seller describes item as working
