rule_id,left,right,classification,minimum_spacing,reason,evidence_basis,source_refs,scope
R001,adapalene,benzoyl peroxide,compatible,none,"Approved co-formulation and acne-guideline support; irritation still applies",regulatory_label_and_guideline,"1;2","Sequential finished products or approved fixed combination"
R002,conventional tretinoin,benzoyl peroxide,separate,different session,"Tretinoin degradation in tested unprotected formulations under light",direct_stability_study,3,"Verify exact tretinoin vehicle and prescriber instructions"
R003,microsphere or optimized tretinoin,benzoyl peroxide,compatible,exact formula check,"Protected formulations can be stable; exception is not class-wide",formulation_study_and_label,"4;5","Only the documented formulation"
R004,topical dapsone,benzoyl peroxide,separate,different session,"Temporary yellow or orange skin or hair discoloration",regulatory_label,6,"Same treatment site"
R005,topical dapsone,adapalene,compatible,none,"Randomized regimen study reported generally mild local reactions",randomized_clinical_study,7,"Prescription directions still control"
R006,hydroquinone,benzoyl peroxide or hydrogen peroxide,separate,different session,"Peroxide oxidation can cause temporary skin coloration",official_product_monograph,8,"Same treatment site; do not premix"
R007,prescription triple combination,separate hydroquinone or retinoid,avoid,prescriber only,"Duplicates hydroquinone and or tretinoin already in the prescription product",regulatory_label,9,"Do not recreate a fixed prescription combination"
R008,niacinamide,L-ascorbic acid,compatible,none,"No clinical sequential-use cancellation evidence located; formula tolerance can differ",indirect_human_coformulation_and_inference,10,"Finished products; human co-formulation used a vitamin C derivative rather than low-pH LAA"
R009,retinol,vitamin C,compatible,exact formula check,"Finished combination studied in human skin",small_double_blind_human_studies,11,"Does not validate arbitrary maximum-strength layering"
R010,prescription tretinoin,topical ascorbic acid,caution,different session initially,"A clinical regimen supports coexistence; AM and PM split reduces crowding",small_clinical_regimen_study,12,"Tolerance-led default rather than a chemical hard stop"
R011,retinol,glycolic acid,caution,different session initially,"Finished combination studied; independent leave-ons can add irritation",randomized_coformulation_study,13,"Separate products are not equivalent to the studied cream"
R012,retinoid,AHA BHA PHA or other exfoliant,caution,different session initially,"Additive dryness and irritation rather than cancellation",regulatory_label_precaution,14,"Reduce frequency or stop for significant irritation"
R013,retinoid,azelaic acid or sulfur,caution,different session initially,"Treatments may share a regimen but irritation can accumulate",guideline_and_label_inference,"1;14","No universal waiting-time number"
R014,benzoyl peroxide,AHA BHA PHA sulfur or azelaic acid,caution,different session initially,"Several drying or keratolytic treatments can crowd one session",guideline_and_label_inference,"1;14","Not a blanket chemical incompatibility"
R015,L-ascorbic acid,AHA BHA PHA or azelaic acid,caution,different session initially,"Independent acidic leave-ons may add sting",mechanism_review_and_tolerance_inference,15,"No evidence-based pH-reset timer"
R016,L-ascorbic acid,benzoyl peroxide,unknown,different session,"Oxidation is plausible but direct human sequential-layering evidence is insufficient",formulation_inference,15,"Do not premix; separation does not create proof of compatibility"
R018,multiple retinoid strategies,multiple retinoid strategies,avoid,prescriber only,"Redundant strategy and increased attribution or irritation burden",label_and_clinical_inference,14,"Alternating does not establish added benefit"
R019,multiple exfoliant families,multiple exfoliant families,caution,different session,"Redundant keratolytic load makes irritation harder to attribute",label_and_clinical_inference,14,"Choose one initial lane"
R020,heavy occlusive ointment,strong leave-on active,caution,exact label,"Occlusion can alter penetration and tolerability",pharmaceutic_inference,,"Barrier recovery does not mean every active should be sealed in"
R021,red or near-infrared PBM,topical active,separate,different session,"Clean bare skin makes optical setup more reproducible",device_setup_inference,,"Manual controls; not chemical cancellation"
R022,home fractional Tria FRX,strong topical active,separate,recovery state,"Clean dry product-free setup and return-to-baseline recovery gate",manufacturer_IFU,17,"A different calendar day is not proof of recovery"
R023,home IPL or diode hair removal,strong topical active,separate,exact device label,"Photosensitizers irritated skin residue and peel rules are model-specific",exact_IFU_required,,"Same body site; no class-wide stop-day number"
R024,professional microneedling or RF microneedling,ordinary topical serum,separate,clinician sequence,"FDA does not authorize microneedling devices to deliver cosmetics medicines or vitamins",FDA_device_guidance,"18;19","Do not treat professional needling as a serum-delivery routine step"
R025,clinic laser RF or HIFU,topical active,separate,clinician sequence,"Parameters site and wound response determine pre and post care",clinician_protocol_required,,"No universal consumer washout"
R026,Sculptra or injectable,energy procedure or strong topical,separate,clinician sequence,"Implant-site inflammation and aftercare are clinician-controlled",FDA_patient_label,20,"Not an ingredient-cancellation question"
R027,niacinamide,vitamin C derivative,compatible,none,"Randomized Serum B3 formula combined niacinamide and stabilized vitamin C",randomized_finished_formula,24,"Derivative-specific; does not validate every serum"
R028,niacinamide,urea,compatible,none,"Low-load barrier-support coexistence; urea has independent barrier/hydration evidence",barrier_hydration_trial_and_inference,47,"No direct pair trial; inspect vehicle and irritation"
R029,niacinamide,dapsone sulfur triple combination or cysteamine,caution,different session,"Prescription or sulfur/pigment treatment lane can raise irritation and attribution load",label_and_treatment_protocol,5;6;29;30;49,"Spacing is a tolerance default, not chemical incompatibility"
R030,niacinamide,non-copper peptide,compatible,none,"Human cosmetic regimens and serums evaluated niacinamide with peptides",randomized_cosmetic_regimens,"34;36","Formula tolerance and medical active instructions still apply"
