formula_id,product,brand,volume_ml,retail_usd,ingredient_name,material_class,inci_position,technology,concentration_low_pct,concentration_base_pct,concentration_high_pct,amount_low_g,amount_base_g,amount_high_g,amount_basis,estimate_class,included_in_peptide_mass,product_source_url,basis_source_url
to_argireline,Argireline Solution 10%,The Ordinary,30,9.70,Acetyl Hexapeptide-8,expression,3,ARGIRELINE peptide solution,0.005,0.005,0.005,0.0015,0.0015,0.0015,10% ARGIRELINE solution × published ~0.05% peptide assay,published_technology_supplier_assay,yes,https://theordinary.com/en-us/argireline-solution-10-serum-100403.html,https://doctorsheltonsolution.com/special/compliance/studies/arg-4.pdf
to_matrixyl,Matrixyl 10% + HA,The Ordinary,30,10.90,Palmitoyl Tripeptide-1,lipopeptide,4,Matrixyl 3000,0.0003,0.0006,0.0008,9e-05,0.00018,0.00024,modeled 3/6/8% Matrixyl 3000 × supplier assay,modeled_technology_supplier_assay,yes,https://theordinary.com/en-us/matrixyl-10-ha-serum-100431.html,https://patents.google.com/patent/US6974799B2/lv
to_matrixyl,Matrixyl 10% + HA,The Ordinary,30,10.90,Palmitoyl Tetrapeptide-7,lipopeptide,5,Matrixyl 3000,0.00015,0.0003,0.0004,4.5e-05,9e-05,0.00012,modeled 3/6/8% Matrixyl 3000 × supplier assay,modeled_technology_supplier_assay,yes,https://theordinary.com/en-us/matrixyl-10-ha-serum-100431.html,https://patents.google.com/patent/US6974799B2/lv
to_matrixyl,Matrixyl 10% + HA,The Ordinary,30,10.90,Palmitoyl Tripeptide-38,lipopeptide,6,Matrixyl Synthe'6,0.0005,0.001,0.00125,0.00015,0.0003,0.000375,modeled 2/4/5% Synthe'6 × supplier assay,modeled_technology_supplier_assay,yes,https://theordinary.com/en-us/matrixyl-10-ha-serum-100431.html,https://patentimages.storage.googleapis.com/9c/04/e9/84ccee710561e0/EP2732806A1.pdf
to_multi_ha,Multi-Peptide + HA Serum,The Ordinary,30,19.90,Acetyl Hexapeptide-8,expression,4,ARGIRELOX,0.001,0.0025,0.005,0.0003,0.00075,0.0015,modeled 2/5/10% ARGIRELOX-type input × ~0.05% AHP-8 assay,modeled_technology_supplier_assay,yes,https://theordinary.com/en-us/multi-peptide-ha-serum-100613.html,https://doctorsheltonsolution.com/special/compliance/studies/arg-4.pdf
to_multi_ha,Multi-Peptide + HA Serum,The Ordinary,30,19.90,Pentapeptide-18,expression,5,,0.001,0.005,0.02,0.0003,0.0015,0.006,INCI position 5 + expression prior (early zone),modeled_inci_class_prior,yes,https://theordinary.com/en-us/multi-peptide-ha-serum-100613.html,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
to_multi_ha,Multi-Peptide + HA Serum,The Ordinary,30,19.90,Palmitoyl Tripeptide-1,lipopeptide,6,Matrixyl 3000,0.0001,0.0003,0.0008,3e-05,9e-05,0.00024,supplier 1/3/8% Matrixyl 3000 scenario,modeled_technology_supplier_assay,yes,https://theordinary.com/en-us/multi-peptide-ha-serum-100613.html,https://patents.google.com/patent/US6974799B2/lv
to_multi_ha,Multi-Peptide + HA Serum,The Ordinary,30,19.90,Palmitoyl Tetrapeptide-7,lipopeptide,7,Matrixyl 3000,5e-05,0.00015,0.0004,1.5e-05,4.5e-05,0.00012,supplier 1/3/8% Matrixyl 3000 scenario,modeled_technology_supplier_assay,yes,https://theordinary.com/en-us/multi-peptide-ha-serum-100613.html,https://patents.google.com/patent/US6974799B2/lv
to_multi_ha,Multi-Peptide + HA Serum,The Ordinary,30,19.90,Palmitoyl Tripeptide-38,lipopeptide,8,Matrixyl Synthe'6,0.000125,0.0005,0.001,3.75e-05,0.00015,0.0003,supplier 0.5/2/4% Synthe'6 scenario,modeled_technology_supplier_assay,yes,https://theordinary.com/en-us/multi-peptide-ha-serum-100613.html,https://patentimages.storage.googleapis.com/9c/04/e9/84ccee710561e0/EP2732806A1.pdf
to_multi_ha,Multi-Peptide + HA Serum,The Ordinary,30,19.90,Dipeptide Diaminobutyroyl Benzylamide Diacetate,expression,9,SYN-AKE,0.002,0.005,0.012,0.0006,0.0015,0.0036,1/2/4% SYN-AKE × 0.2-0.3% peptide assay,modeled_technology_supplier_assay,yes,https://theordinary.com/en-us/multi-peptide-ha-serum-100613.html,https://theordinary.com/en-us/multi-peptide-ha-serum-100613.html
to_multi_ha,Multi-Peptide + HA Serum,The Ordinary,30,19.90,Acetylarginyltryptophyl Diphenylglycine,other,10,,0.0005,0.005,0.05,0.00015,0.0015,0.015,INCI position 10 + other prior (early zone),modeled_inci_class_prior,yes,https://theordinary.com/en-us/multi-peptide-ha-serum-100613.html,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
to_copper,Multi-Peptide + Copper Peptides 1%,The Ordinary,30,32.00,Copper Tripeptide-1,copper,4,GHK-Cu,1,1,1,0.3,0.3,0.3,official 1% copper-peptide headline; treated conditionally as Copper Tripeptide-1,published_claim_conditional,yes,https://theordinary.com/en-us/multi-peptide-copper-peptides-1-serum-100625.html,https://theordinary.com/en-us/multi-peptide-copper-peptides-1-serum-100625.html
to_copper,Multi-Peptide + Copper Peptides 1%,The Ordinary,30,32.00,Acetyl Hexapeptide-8,expression,5,ARGIRELOX,0.001,0.0025,0.005,0.0003,0.00075,0.0015,modeled 2/5/10% ARGIRELOX-type input × ~0.05% AHP-8 assay,modeled_technology_supplier_assay,yes,https://theordinary.com/en-us/multi-peptide-copper-peptides-1-serum-100625.html,https://doctorsheltonsolution.com/special/compliance/studies/arg-4.pdf
to_copper,Multi-Peptide + Copper Peptides 1%,The Ordinary,30,32.00,Pentapeptide-18,expression,6,,0.001,0.005,0.02,0.0003,0.0015,0.006,INCI position 6 + expression prior (early zone),modeled_inci_class_prior,yes,https://theordinary.com/en-us/multi-peptide-copper-peptides-1-serum-100625.html,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
to_copper,Multi-Peptide + Copper Peptides 1%,The Ordinary,30,32.00,Palmitoyl Tripeptide-1,lipopeptide,7,Matrixyl 3000,0.0001,0.0003,0.0008,3e-05,9e-05,0.00024,supplier 1/3/8% Matrixyl 3000 scenario,modeled_technology_supplier_assay,yes,https://theordinary.com/en-us/multi-peptide-copper-peptides-1-serum-100625.html,https://patents.google.com/patent/US6974799B2/lv
to_copper,Multi-Peptide + Copper Peptides 1%,The Ordinary,30,32.00,Palmitoyl Tetrapeptide-7,lipopeptide,8,Matrixyl 3000,5e-05,0.00015,0.0004,1.5e-05,4.5e-05,0.00012,supplier 1/3/8% Matrixyl 3000 scenario,modeled_technology_supplier_assay,yes,https://theordinary.com/en-us/multi-peptide-copper-peptides-1-serum-100625.html,https://patents.google.com/patent/US6974799B2/lv
to_copper,Multi-Peptide + Copper Peptides 1%,The Ordinary,30,32.00,Palmitoyl Tripeptide-38,lipopeptide,9,Matrixyl Synthe'6,0.000125,0.0005,0.001,3.75e-05,0.00015,0.0003,supplier 0.5/2/4% Synthe'6 scenario,modeled_technology_supplier_assay,yes,https://theordinary.com/en-us/multi-peptide-copper-peptides-1-serum-100625.html,https://patentimages.storage.googleapis.com/9c/04/e9/84ccee710561e0/EP2732806A1.pdf
to_copper,Multi-Peptide + Copper Peptides 1%,The Ordinary,30,32.00,Dipeptide Diaminobutyroyl Benzylamide Diacetate,expression,10,SYN-AKE,0.002,0.005,0.012,0.0006,0.0015,0.0036,1/2/4% SYN-AKE × 0.2-0.3% peptide assay,modeled_technology_supplier_assay,yes,https://theordinary.com/en-us/multi-peptide-copper-peptides-1-serum-100625.html,https://theordinary.com/en-us/multi-peptide-copper-peptides-1-serum-100625.html
to_copper,Multi-Peptide + Copper Peptides 1%,The Ordinary,30,32.00,Acetylarginyltryptophyl Diphenylglycine,other,11,,5e-05,0.0005,0.005,1.5e-05,0.00015,0.0015,INCI position 11 + other prior (middle zone),modeled_inci_class_prior,yes,https://theordinary.com/en-us/multi-peptide-copper-peptides-1-serum-100625.html,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
to_gf15,GF 15% Solution,The Ordinary,30,15.50,Nicotiana Benthamiana Hexapeptide-40 sh-Oligopeptide-1,growth_factor,3,15% GF solution,1e-05,0.0001,0.001,3e-06,3e-05,0.0003,15% total GF solution; individual assay undisclosed,modeled_with_published_complex,yes,https://theordinary.com/en-us/gf-15-solution-growth-factors-serum-100702.html,https://theordinary.com/en-us/gf-15-solution-growth-factors-serum-100702.html
to_gf15,GF 15% Solution,The Ordinary,30,15.50,Nicotiana Benthamiana Hexapeptide-40 sh-Polypeptide-76,growth_factor,4,15% GF solution,1e-05,0.0001,0.001,3e-06,3e-05,0.0003,15% total GF solution; individual assay undisclosed,modeled_with_published_complex,yes,https://theordinary.com/en-us/gf-15-solution-growth-factors-serum-100702.html,https://theordinary.com/en-us/gf-15-solution-growth-factors-serum-100702.html
to_gf15,GF 15% Solution,The Ordinary,30,15.50,Nicotiana Benthamiana Octapeptide-30 sh-Oligopeptide-2,growth_factor,5,15% GF solution,1e-05,0.0001,0.001,3e-06,3e-05,0.0003,15% total GF solution; individual assay undisclosed,modeled_with_published_complex,yes,https://theordinary.com/en-us/gf-15-solution-growth-factors-serum-100702.html,https://theordinary.com/en-us/gf-15-solution-growth-factors-serum-100702.html
gm_super,Super Peptide Serum,Good Molecules,30,12.00,Acetyl Hexapeptide-8,expression,12,,0.0025,0.0025,0.0025,0.00075,0.00075,0.00075,official 25 ppm,published_final_dose,yes,https://v1.goodmolecules.com/products/super-peptide-serum,https://v1.goodmolecules.com/products/super-peptide-serum
gm_super,Super Peptide Serum,Good Molecules,30,12.00,Acetyl Octapeptide-3,expression,13,,0.0025,0.0025,0.0025,0.00075,0.00075,0.00075,official 25 ppm,published_final_dose,yes,https://v1.goodmolecules.com/products/super-peptide-serum,https://v1.goodmolecules.com/products/super-peptide-serum
gm_super,Super Peptide Serum,Good Molecules,30,12.00,Copper Tripeptide-1,copper,15,,0.0005,0.0005,0.0005,0.00015,0.00015,0.00015,official 5 ppm,published_final_dose,yes,https://v1.goodmolecules.com/products/super-peptide-serum,https://v1.goodmolecules.com/products/super-peptide-serum
gm_copper_pdrn,Copper Peptide Serum with PDRN,Good Molecules,30,12.00,Copper Tripeptide-1,copper,14,,0.1,0.1,0.1,0.03,0.03,0.03,independent formula index; not brand-published,independent_secondary,yes,https://www.goodmolecules.com/s/good-molecules-copper-peptide-serum-with-pdrn-30ml,https://www.goodmolecules.com/s/good-molecules-copper-peptide-serum-with-pdrn-30ml
gm_copper_pdrn,Copper Peptide Serum with PDRN,Good Molecules,30,12.00,Sodium DNA (PDRN; not a peptide),other,16,,0.02,0.2,0.6,0.006,0.06,0.18,PDRN amount undisclosed; modeled,modeled_inci_class_prior,no,https://www.goodmolecules.com/s/good-molecules-copper-peptide-serum-with-pdrn-30ml,https://www.goodmolecules.com/s/good-molecules-copper-peptide-serum-with-pdrn-30ml
gm_copper_pdrn,Copper Peptide Serum with PDRN,Good Molecules,30,12.00,Caprooyl Tetrapeptide-3,lipopeptide,17,,3e-05,0.0003,0.003,9e-06,9e-05,0.0009,INCI position 17 + lipopeptide prior (middle zone),modeled_inci_class_prior,yes,https://www.goodmolecules.com/s/good-molecules-copper-peptide-serum-with-pdrn-30ml,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
gm_copper_pdrn,Copper Peptide Serum with PDRN,Good Molecules,30,12.00,Tridecapeptide-1,other,19,,5e-05,0.0005,0.005,1.5e-05,0.00015,0.0015,INCI position 19 + other prior (middle zone),modeled_inci_class_prior,yes,https://www.goodmolecules.com/s/good-molecules-copper-peptide-serum-with-pdrn-30ml,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
gng_power,Power Peptides,Geek & Gorgeous,30,18.80,Palmitoyl Tripeptide-1,lipopeptide,6,Matrixyl 3000,0.0003,0.0003,0.0003,9e-05,9e-05,9e-05,official 3% Matrixyl 3000 × supplier assay,published_technology_supplier_assay,yes,https://geekandgorgeous.com/products/power-peptides,https://patents.google.com/patent/US6974799B2/lv
gng_power,Power Peptides,Geek & Gorgeous,30,18.80,Palmitoyl Tetrapeptide-7,lipopeptide,7,Matrixyl 3000,0.00015,0.00015,0.00015,4.5e-05,4.5e-05,4.5e-05,official 3% Matrixyl 3000 × supplier assay,published_technology_supplier_assay,yes,https://geekandgorgeous.com/products/power-peptides,https://patents.google.com/patent/US6974799B2/lv
gng_power,Power Peptides,Geek & Gorgeous,30,18.80,Palmitoyl Tripeptide-38,lipopeptide,8,Matrixyl Synthe'6,0.0005,0.0005,0.0005,0.00015,0.00015,0.00015,official 2% Synthe'6 × supplier assay,published_technology_supplier_assay,yes,https://geekandgorgeous.com/products/power-peptides,https://patentimages.storage.googleapis.com/9c/04/e9/84ccee710561e0/EP2732806A1.pdf
gng_power,Power Peptides,Geek & Gorgeous,30,18.80,Tetrapeptide-21,other,9,TEGO PEP 4-17,0.0092,0.0092,0.0092,0.00276,0.00276,0.00276,"official 4% TEGO PEP × public 2,300 ppm peptide assay",published_technology_supplier_assay,yes,https://geekandgorgeous.com/products/power-peptides,https://www.escentialsofaustralia.com/products/productid1564
