preset_id,publication_year,publication_short,study_title,cohort_group,population,n,design,device_geometry,wavelength_nm,reported_irradiance_mw_cm2,session_seconds,reported_fluence_j_cm2,derived_fluence_from_irradiance_time_j_cm2,effective_irradiance_from_reported_fluence_time_mw_cm2,schedule,outcome_summary,translation_status,source_url,translation_note
denardi_2025,2025,De Nardi 2025,Photobiomodulation Acutely Augments Resting Metabolism in Women with Obesity,denardi_metabolism_2025,Women with obesity and sedentary normal-weight women,32,Randomized sham-controlled crossover,"LED PRO light bed; front and back illuminated simultaneously","633-660; 850-940",129,720,92.9,92.88,129.03,One acute exposure,"REE increased 9.3% in the obesity subgroup; skin temperature rose; acute result only",complete,https://pmc.ncbi.nlm.nih.gov/articles/PMC12608151/,Internally consistent high-dose protocol; not a routine-use recommendation
santos_2024,2024,Santos 2024 abstract,Acute Effect of Whole-Body Photobiomodulation on Agility Test in Trained and Healthy Individuals,santos_agility_2024,Trained healthy adults,10,Randomized double-blind sham-controlled crossover,"Whole-body LED exposure; device not named in abstract","Not reported in abstract",46.17,300,13.85,13.85,46.17,"Two 5-minute exposures on one study day; 6 hours and 5 minutes before testing","No agility benefit versus placebo",abstract_only,https://doi.org/10.1016/j.bjpt.2024.100751,"The abstract says 10 minutes total across two irradiations; the reconstructed dose is 5 minutes per exposure"
navarro_fm,2024,Navarro-Ledesma 2024,Fibromyalgia outcomes with six months of follow-up,navarro_fm_nct04248972,Fibromyalgia,42,Triple-blind randomized sham-controlled trial,"NovoTHOR clamshell light bed; simultaneous full-body exposure","660; 850 (50:50)",28,1200,25.2,33.6,21,"20 minutes; 3 times weekly for 4 weeks; 12 sessions","Pain and quality-of-life differences favored active treatment at multiple follow-ups",dose_inconsistent,https://pmc.ncbi.nlm.nih.gov/articles/PMC10864543/,Same cohort and regimen as Navarro-Ledesma 2023; reported irradiance time and fluence cannot all be true
fitzmaurice_fm,2024,Fitzmaurice 2024,Whole-Body PBMT Propels the Fibromyalgia Patient into the Recomposition Phase,fitzmaurice_fm_nct05069363,Fibromyalgia,19,Qualitative companion analysis of a single-arm feasibility cohort,"NovoTHOR clamshell light bed; simultaneous full-body exposure","660; 850 (50:50)",28,1200,33.6,33.6,28,"Session 1 6 minutes; session 2 12 minutes; sessions 3-18 20 minutes; 3 times weekly for 6 weeks","Participants described acceptability and perceived improvements; no control group",companion_same_protocol,https://pmc.ncbi.nlm.nih.gov/articles/PMC11117728/,Same exposure cohort and regimen as Fitzmaurice 2023; not an independent replication
forsey_2023,2023,Forsey 2023,Whole-body PBM improves post-exercise recovery but does not affect maximal anaerobic performance,forsey_athletes_2023,Runners and triathletes,48,Single-blind randomized sham-controlled trial,"NovoTHOR clamshell light bed; simultaneous full-body exposure","660; 850",28,1200,33.6,33.6,28,One 20-minute pre-exercise exposure,"No Wingate-performance or lactate benefit; selected HR and HRV changes",complete,https://pubmed.ncbi.nlm.nih.gov/37099210/,Internally consistent surface-dose parameters
fitzmaurice_fm,2023,Fitzmaurice 2023,Whole-Body Photobiomodulation Therapy for Fibromyalgia: A Feasibility Trial,fitzmaurice_fm_nct05069363,Fibromyalgia,19,Single-arm feasibility trial,"NovoTHOR clamshell light bed; simultaneous full-body exposure","660; 850 (50:50)",28,1200,33.6,33.6,28,"Session 1 6 minutes; session 2 12 minutes; sessions 3-18 20 minutes; 3 times weekly for 6 weeks","Feasible with symptom improvements; uncontrolled",complete,https://pmc.ncbi.nlm.nih.gov/articles/PMC10525895/,Main full-duration preset is 20 minutes; the first two ramp sessions are lower-dose variants
bowen_2023,2023,Bowen 2023,Use of either transcranial or whole-body PBM treatments improves COVID-19 brain fog,bowen_long_covid_2023,Adults with long-COVID brain fog in the whole-body arm,7,Open-label pilot,"NovoTHOR clamshell light bed; simultaneous full-body exposure","660; 850",24,840,20.2,20.16,24.05,"14 minutes; 3 times weekly for 4 weeks; 12 sessions","Cognitive tests improved; tiny open-label whole-body group",complete,https://pubmed.ncbi.nlm.nih.gov/37018063/,No whole-body sham comparator
navarro_fm,2023,Navarro-Ledesma 2023,Short-Term Effects of Whole-Body PBM in Fibromyalgia,navarro_fm_nct04248972,Fibromyalgia,42,Triple-blind randomized sham-controlled trial,"NovoTHOR clamshell light bed; simultaneous full-body exposure","660; 850 (50:50)",28,1200,25.2,33.6,21,"20 minutes; 3 times weekly for 4 weeks; 12 sessions","Pain and quality-of-life differences favored active treatment",dose_inconsistent,https://pmc.ncbi.nlm.nih.gov/articles/PMC9845459/,Same cohort and regimen as Navarro-Ledesma 2024; reported irradiance time and fluence cannot all be true
navarro_circadian_2022,2022,Navarro-Ledesma 2022,Circadian blood pressure pain-pressure threshold and tissue elasticity after whole-body PBM,navarro_circadian_nct05113589,Fibromyalgia,40,Triple-blind randomized sham-controlled trial,"NovoTHOR clamshell light bed; simultaneous full-body exposure","660; 850 (50:50)",28,1200,25.2,33.6,21,"20 minutes; 3 times weekly for 4 weeks; 12 sessions","Selected circadian blood-pressure pain-threshold and tissue-elasticity outcomes differed",dose_inconsistent,https://pmc.ncbi.nlm.nih.gov/articles/PMC9687325/,Separate registered trial and cohort from the 2023-2024 Navarro-Ledesma reports; the same dose arithmetic conflict remains
rentz_2022,2022,Rentz 2022,Full-Body PBM Is Associated with Reduced Sleep Durations and Augmented Cardiorespiratory Indicators of Recovery,rentz_soccer_2022,Female soccer players,12,Observational pre-post study,"NovoTHOR clamshell light bed; simultaneous full-body exposure","660; 850",24,1200,28.8,28.8,24,"20 minutes; 1-2 times weekly across a season","Sleep and nocturnal-heart-rate associations; causal inference not possible",complete,https://pmc.ncbi.nlm.nih.gov/articles/PMC9414854/,Internally consistent surface-dose parameters
ghigiarelli_2020,2020,Ghigiarelli 2020,Whole-Body PBM Light-Bed Therapy after resistance exercise,ghigiarelli_athletes_2020,Resistance-trained men,12,Randomized crossover study,"NovoTHOR clamshell light bed; simultaneous full-body exposure","660; 850",17,900,25,15.3,27.78,"15 minutes before and 15 minutes after one exercise session","No CK IL-6 or HRV recovery advantage",dose_inconsistent,https://pmc.ncbi.nlm.nih.gov/articles/PMC7739664/,Reported 17 mW/cm2 for 900 seconds reconstructs to 15.3 J/cm2 rather than 25 J/cm2
zagatto_2020,2020,Zagatto 2020,Full Body PBM to Induce Faster Muscle Recovery in Water Polo Athletes,zagatto_water_polo_2020,Male water-polo players,13,Double-blind randomized sham-controlled trial,"Joovv Elite panel system; broad full-body exposure","660; 850",46.17,300,13.8,13.85,46,"5 minutes after each of 3 games within 5 days","No meaningful performance inflammatory muscle-damage or hormonal benefit",complete,https://pubmed.ncbi.nlm.nih.gov/33332232/,Reported fluence is rounded from irradiance times exposure time
zhao_2012,2012,Zhao 2012,Red Light and the Sleep Quality and Endurance Performance of Chinese Female Basketball Players,zhao_basketball_2012,Female basketball players,20,Single-blind randomized sham-controlled trial,"Dayou full-body red-light system","658",16.6,1800,30,29.88,16.67,"30 minutes daily for 14 days after exercise at night","Subjective sleep and melatonin signal; no placebo-adjusted running benefit",complete,https://pmc.ncbi.nlm.nih.gov/articles/PMC3499892/,Older single-wavelength daily protocol; values summarized by the 2025 systematic review
