id,year,source_type,title,source,access_url,evidence_class,what_it_adds,caveat
1,2026,PMC full text,"Radiofrequency Microneedling for Facial Rejuvenation: A Systematic Review",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC13058395/,review,"Study-level synthesis and conflicts","Industry-linked authors and heterogeneous protocols"
2,2026,PMC full text,"Oral and topical peptides for skin aging: systematic review and meta-analysis",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC13037056/,review,"19 RCTs and oral versus topical analysis","Topical evidence sparse; pooled effect modest"
3,2026,PMC full text,"Mechanically Induced Skin Renewal: Mechanisms and Clinical Applications",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC13184425/,overview,"Mechanism survey","Not a new clinical trial"
4,2023,PMC full text,"Peptide-pro complex serum: Investigating effects on aged skin",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC10084013/,product-linked clinical/formulation,"Finished-formula data","Product-linked"
5,2025,PMC full text,"Topical formulation containing peptides and vitamin C for skin aging",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC9786622/,observational,"Large observational dataset","No randomized comparator"
6,2025,PMC full text,"Efficacy of Topical Hydroxypinacolone Retinoate-Peptide Product Versus Fractional CO2 Laser",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC11743323/,comparative clinical,"Direct topical/device comparison","Formula and study-specific"
7,2021,ClinicalTrials.gov protocol,"Energy Devices for Rejuvenation NCT03767972",ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT03767972,protocol,"Prespecified device comparisons","No efficacy conclusion without results"
8,2022,ClinicalTrials.gov protocol,"Clinical Assessment of Skin Quality and Efficacy of RF Microneedling NCT05085730",ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05085730,protocol,"Outcome and parameter planning","Protocol not results"
9,2019,Institutional thesis,"The study of a combined diode laser and bipolar radiofrequency compared with combined infrared light and bipolar radiofrequency for skin rejuvenation",RISS Korea,https://m.riss.kr/search/detail/DetailView.do?control_no=a2d2f14ed12d0701ffe0bdc3ef48d419&p_mat_type=be54d9b8bc7cdb09,thesis,"Non-English/device combination discovery","Thesis status and methods need verification"
10,2024,Institutional thesis,"Análisis de la aplicación alternada entre radiofrecuencia e IPL para rejuvenecimiento facial",Uniandes Ecuador,https://dspace.uniandes.edu.ec/handle/123456789/18797,thesis,"Applied combination protocol","Non-journal thesis; do not treat as RCT"
11,2019,Institutional dissertation,"Flexible OLED photobiomodulation platform for skin regeneration",KAIST,https://koasas.kaist.ac.kr/handle/10203/284550,engineering thesis,"Flexible light-delivery concept","Engineering feasibility not clinical efficacy"
12,2022,Institutional thesis,"Design Development and Implementation Framework for Cosmetic Dermatology Devices",UCL,https://discovery.ucl.ac.uk/id/eprint/10133056/7/Kumar_10133056_Thesis_redacted.pdf,thesis,"Design, safety, and translation framework","Not a treatment trial"
13,2020,Preprint/engineering,"Robotics Meets Cosmetic Dermatology: Development of a Novel Vision-Guided System for Skin Photo-Rejuvenation",arXiv,https://arxiv.org/abs/2005.10462,preprint,"Automation and delivery uniformity","No clinical validation"
14,2021,Preprint/engineering,"A Split-face Study of Novel Robotic Prototype vs Human Operator in Skin Rejuvenation Using Q-switched Nd:YAG Laser",arXiv,https://arxiv.org/abs/2106.02829,preprint,"Robotic consistency hypothesis","Preprint; verify peer-reviewed version"
15,2024,Conference abstract,"EADV Congress 2024 corrective aesthetic and cosmetic dermatology abstracts",EADV,https://eadv.org/wp-content/uploads/scientific-abstracts/EADV-congress-2024/Corrective-aesthetic-and-cosmetic-dermatology.pdf,abstract,"Early signals and emerging methods","Abstracts often lack full methods and follow-up"
16,2025,PMC full text,"Radiofrequency-Based Treatments for Facial Rejuvenation: A Systematic Review",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC12715571/,review,"15 studies, 1230 participants, and patient-centered outcomes","Heterogeneous endpoints and sponsorship"
17,2025,FDA safety communication,"Potential Risks with Certain Uses of Radiofrequency (RF) Microneedling",FDA,https://www.fda.gov/medical-devices/safety-communications/potential-risks-certain-uses-radiofrequency-rf-microneedling-fda-safety-communication,regulatory safety,"Post-market serious-complication signal and home-use boundary","Safety communication; not a comparative efficacy study"
18,2025,FDA regulatory overview,"Microneedling Devices: benefits, risks, and legally marketed uses",FDA,https://www.fda.gov/medical-devices/aesthetic-cosmetic-devices/microneedling-devices,regulatory context,"Device-specific authorization and combination-use context","Clearance is specific to device, indication, site, and use"
