ingredient_key,ingredient_name,trade_name_or_form,public_price,price_basis,price_scope,source_urls,confidence,notes
acetyl_hexapeptide_8,Acetyl Hexapeptide-8,Argireline powder,"$1–42/kg; $8.84–14/g suspension",pure powder vs formulated suspension,public supplier listings,"https://mingqichem.lookchem.com/products/CasNo-616204-22-9-Acetyl-Hexapeptide-8-37402717.html;https://www.formulatelabs.ai/materials/acetyl-hexapeptide-8",medium,"Do not combine pure powder and suspension prices; Echemi $1/kg is treated as an outlier."
matrixyl_3000,Matrixyl 3000,commercial blend,"about $1.14–2.70/g",commercial premix,Trulux public pack ladder,https://trulux.com/products/matrixyl-3000/,high,"Carrier blend containing Palmitoyl Tripeptide-1 and Palmitoyl Tetrapeptide-7."
matrixyl_synthe6,Matrixyl Synthe'6,commercial blend,"about $1.27–2.95/g",commercial premix,Trulux public pack ladder,https://trulux.com/products/matrixyl-synthe-6/,high,"Do not replace with pure Palmitoyl Tripeptide-38 without labeling the substitution."
palmitoyl_tripeptide_38,Palmitoyl Tripeptide-38,INCI suspension/powder,"$4.63–7.33/g suspension; $80–200/g powder",formulated suspension vs specialty powder,public supplier listings,"https://www.formulatelabs.ai/materials/palmitoyl-tripeptide-38;https://www.rhinebiotech.com/dp-cosmetic-peptide-palmitoyl-tripeptide-38-k5540493.html",medium,"Pure INCI price is not Matrixyl Synthe'6 blend price."
palmitoyl_tripeptide_5,Palmitoyl Tripeptide-5,SYN-COLL or pure/raw,"about $0.75–1.85/g commercial; $20–85/g raw",commercial blend vs raw peptide,public supplier listings,https://trulux.com/products/syn-coll/,medium,"Use commercial band for labels naming SYN-COLL."
pentapeptide_18,Pentapeptide-18,formulated suspension,"about $73.08–115.80/g",formulated suspension,FormulateLabs pack ladder,https://www.formulatelabs.ai/materials/pentapeptide-18,medium,"No clean public pure-powder cosmetic price found."
syn_ake,Dipeptide Diaminobutyroyl Benzylamide Diacetate,SYN-AKE,"about $0.50–6/kg bulk; about $80/g small lot",bulk vs small-lot powder,public supplier listings,"https://mingqichem.lookchem.com/products/CasNo-823202-99-9-Syn-ake-37236641.html;https://www.chemicalbook.com/Manufacturers/Dipeptide-diaminobutyroyl-benzylamide-diacetate.htm",low,"Unit and grade differences are extreme."
ghk_cu,GHK-Cu / Copper Tripeptide-1,cosmetic powder,"about $40–45/kg bulk; about $7.99/g specialty",bulk vs specialty powder,public supplier listings,"https://www.alibaba.com/search/page?SearchScene=imageTextSearch&productId=1601385656954;https://albochem.com/product/ghk-cu-raw-powder-copperii-glycyl-l-histidyl-l-lysinate-%E2%89%A599-purity-10-grams/",medium,"Do not apply to proprietary copper complexes without matching the grade."
caprooyl_tripeptide_3,Caprooyl Tetrapeptide-3,ChroNOline-class INCI/suspension,"$100–120/kg bulk; $7.64–12.11/g suspension; $100–200/g small lot",bulk powder vs formulated suspension vs small lot,public supplier listings,"https://www.cncsbio.com/anti-aging-raw-materials/63688129.html;https://www.formulatelabs.ai/materials/caprooyl-tetrapeptide-3;https://www.ec21.com/product-details/Top-Quality-Anti-Aging-Cosmetics--11965330.html",medium,"Bulk listing is industrial grade; suspension includes carrier."
tridecapeptide_1,Tridecapeptide-1,INCI powder,"$26.32/10 g sample shipment",trade-data sample,Volza import signal,https://www.volza.com/p/cosmetic-peptide/import/hsn-code-2937190000/,low,"Not a regular quote; supplier pages are quote-only."
