id,product,brand,format,volume_ml,retail_usd,price_basis,transparency_score,confidence,active_mass_low_g,active_mass_base_g,active_mass_high_g,peptide_cost_low_usd,peptide_cost_base_usd,peptide_cost_high_usd,composition_status,peptide_breakdown,source_key,notes
to_argireline,Argireline Solution 10%,The Ordinary,serum,30,9.70,US official one-time price,5,medium,0.005,0.015,0.030,0.02,0.15,0.86,commercial-solution,Acetyl Hexapeptide-8: 10% commercial solution headline; modeled pure-equivalent 0.005/0.015/0.030 g; exact assay not published,TO-ARG;MC-ARG,The 10% label is the commercial Argireline solution level rather than verified pure peptide percentage.
to_matrixyl,Matrixyl 10% + HA,The Ordinary,serum,30,10.90,US official one-time price,4,medium,3.000,3.000,3.000,3.60,4.80,7.20,commercial-blend,Palmitoyl Tripeptide-1 + Palmitoyl Tetrapeptide-7: modeled 6% Matrixyl 3000 = 1.8 g; Palmitoyl Tripeptide-38: modeled 4% Synthe'6 = 1.2 g; 10% total premix,TO-MATRIX;TRULUX-M3000;TRULUX-S6;NEW-DIR-M3000;NEW-DIR-S6,"The 6%/4% split is a formulation-model assumption based on the historical product description and INCI, not current official assay disclosure."
to_multi_ha,Multi-Peptide + HA Serum,The Ordinary,serum,30,19.90,US official one-time price,2,low,0.300,1.500,3.300,0.20,1.20,4.00,undisclosed-blend,Acetyl Hexapeptide-8; Pentapeptide-18; Palmitoyl Tripeptide-1; Palmitoyl Tetrapeptide-7; Palmitoyl Tripeptide-38; Dipeptide Diaminobutyroyl Benzylamide Diacetate; Acetylarginyltryptophyl Diphenylglycine: amounts not disclosed; modeled 0.3/1.5/3.3 g total commercial premix,TO-HA,Individual amounts and total peptide-complex loading are not published on the current official page.
to_copper,Multi-Peptide + Copper Peptides 1%,The Ordinary,serum,30,32.00,US official one-time price,3,low,0.180,0.450,0.900,0.30,2.00,12.00,headline-complex,"GHK-Cu/Copper Tripeptide-1; Acetyl Hexapeptide-8; Pentapeptide-18; Palmitoyl Tripeptide-1; Palmitoyl Tetrapeptide-7; Palmitoyl Tripeptide-38; Dipeptide Diaminobutyroyl Benzylamide Diacetate; Acetylarginyltryptophyl Diphenylglycine: 1% copper-peptide technology headline, not verified pure GHK-Cu; modeled 0.18/0.45/0.90 g peptide-equivalent",TO-COPPER,"The product name says 1% copper peptides, but the formula does not establish that this is 1% pure Copper Tripeptide-1."
to_gf15,GF 15% Solution,The Ordinary,serum,30,15.50,US official one-time price,4,low,4.500,4.500,4.500,2.25,9.00,22.50,commercial-growth-factor-solution,Plant-made biomimetic EGF/IGF/TGF technologies: 15% solution = 4.5 g commercial solution; pure protein/peptide content not published,TO-GF,Cost proxy uses a wide proprietary-growth-factor solution range; not a pure-peptide price.
gm_super,Super Peptide Serum,Good Molecules,serum,30,12.00,US official catalog price,5,high,0.001650,0.001650,0.001650,0.01,0.12,0.50,ppm-disclosed,Acetyl Hexapeptide-8: 25 ppm = 0.75 mg; Acetyl Octapeptide-3: 25 ppm = 0.75 mg; Copper Tripeptide-1: 5 ppm = 0.15 mg; total disclosed peptide mass 1.65 mg,GM-SUPER,This is the clearest final-formula dose disclosure in the scan; cost range still reflects different raw-material grades and scale.
gm_copper_pdrn,Copper Peptide Serum with PDRN,Good Molecules,serum,30,12.00,US official catalog price,3,low,0.030,0.090,0.150,3.28,3.28,3.28,indexed-not-official,"GHK-Cu/Copper Tripeptide-1: independently indexed at 0.1% = 30 mg but not officially disclosed; Caprooyl Tetrapeptide-3 and Tridecapeptide-1: amounts unknown; Sodium DNA/rose PDRN: amount unknown, modeled 0.2% = 60 mg base; total modeled active mass 0.03/0.09/0.15 g",GM-COPPER;GM-PDRN;PRICE-PDRN-COS;SKINSORT,"Best input cost uses formulation-grade replacement materials: a potency-matched 1% GHK-Cu suspension, cosmetic PDRN powder benchmark, Caprooyl Tetrapeptide-3 suspension, and a small category allowance for Tridecapeptide-1."
gng_power,Power Peptides,Geek & Gorgeous,serum,30,18.80,US official price snapshot,5,high,2.700,2.700,2.700,4.18,4.18,4.18,commercial-technologies,Matrixyl 3000: 3% = 0.9 g; Matrixyl Synthe'6: 2% = 0.6 g; TEGO PEP 4-17/Tetrapeptide-21: 4% = 1.2 g; X50 Antiaging/Copper Palmitoyl Heptapeptide-14: 0.001% = 0.0003 g,GG-POWER;TRULUX-M3000;NEW-DIR-S6;TEGO-ESCENTIALS;X50-TECH;X50-PRODUCT,All four use levels are official. TEGO now uses a matched cosmetic-solution pack ladder; research vials and pure-peptide proxies are excluded.
theramid_copper,Copper Peptide 3%,Theramid,serum,30,49.00,EUR 44.95 converted at approx. 1.09 USD/EUR,4,medium,4.800,4.800,4.800,7.50,18.90,56.60,pure-plus-complex,GHK-Cu/Copper Tripeptide-1: 3% = 0.9 g claimed pure copper peptide; additional peptide complex: 13% = 3.9 g; named peptides include Acetyl Hexapeptide-1; Acetyl Tetrapeptide-2; Trifluoroacetyl Tripeptide-2; Palmitoyl Tripeptide-1; Palmitoyl Tetrapeptide-7; Palmitoyl Hexapeptide-12; Palmitoyl Tripeptide-5; Palmitoyl Pentapeptide-4; Tripeptide-2; Acetyl Hexapeptide-8; Hexapeptide-9; additional INCI peptides,THERAMID-COPPER;GHK-RAW,"The official 3% and 13% claims are clear, but the 13% is an additional peptide complex and the supplier identity/assay is not published."
theramid_derma,Derma-Peptides 35%,Theramid,serum,30,36.00,EUR 32.95 converted at approx. 1.09 USD/EUR,4,medium,10.500,10.500,10.500,8.00,31.50,84.00,commercial-technologies,Matrixyl 3000 5% = 1.5 g; Matrixyl Synthe'6 3% = 0.9 g; Matrixyl Morphomics 3% = 0.9 g; Munapsys 5% = 1.5 g; BIO GF Complex 8% = 2.4 g; Melanostatine 4% = 1.2 g; Nutecyl 3% = 0.9 g; Skinarch 2% = 0.6 g; Neoclair Pro 2% = 0.6 g; 35% total commercial technologies,THERAMID-DERMA;TRULUX-M3000;TRULUX-S6,"All component percentages are commercial technology levels; most raw prices are private, so this row has a wide range."
