atlas_rank,atlas_id,atlas_score,category,current_status,current_item,evidence_match,endpoint_match,parameter_match,main_gap,next_verification,rendered_route
1,photoprotection,96,Photoprotection + tinted sunscreen,partial,Round Lab SPF 50 face product used for outdoor exposure,same-class,conditional,unknown,"Exact product; UVA label; amount; reapplication; tint and iron-oxide status unknown","Photograph exact front/back label and define general photoaging versus melasma/PIH endpoint",../13_combined_skincare_regimen/index.html
2,retinoids,94,Retinoids,present,Adapalene 0.1%,same-class,"strong for acne; narrower direct photoaging evidence",known ingredient and concentration,"Broad retinoid node overstates direct applicability of tretinoin photoaging literature to adapalene","Record goal and response; preserve non-Tria recovery rather than stacking or switching by rank",../13_combined_skincare_regimen/index.html
3,acne-actives,93,Acne actives,present-if-goal-active,Adapalene 0.1% plus azelaic acid 10%,same-class,unknown,partial,"Current lesion type severity and count are not recorded; node overlaps retinoid and azelaic categories","Record inflammatory and noninflammatory lesion baseline before treating another acne active as missing",../13_combined_skincare_regimen/index.html
4,fractional-laser,91,Fractional laser resurfacing,present,Tria Age-Defying or SmoothBeauty 1440 nm,exact-device-human-protocol,"texture and fine-line fit; pigment fit uncertain",current 5-times-weekly 12-week schedule closely matches published use,"Direct Tria study had no untreated or sham-laser control and no home-versus-professional calibration","Track course week level recovery and standardized endpoint; follow Tria IFU",../03_fractional_laser_resurfacing/index.html#doc13
5,microneedling,87,Microneedling,not-documented-goal-dependent,None,none,unknown,none,"Not a missing foundation; overlaps current injury/remodeling lane","Consider only for a defined scar or texture endpoint after the Tria course",../10_microneedling_collagen_induction/index.html
5,hair-laser,87,Diode alexandrite or Nd:YAG hair lasers,not-documented-separate-goal,None,none,not-applicable,none,"Hair removal is a separate endpoint","Only assess if unwanted hair is an explicit goal",../02_diode_laser_hair_removal/index.html
7,rf,85,Radiofrequency tightening,absent-distinct-but-later,None,none,"potential fit only for mild wrinkles or laxity",none,"Different mechanism does not mean needed; another energy course may worsen schedule crowding","Reassess after Tria and recovery are stable if laxity remains the selected endpoint",../07_radio_frequency_skin_tightening/index.html#doc10
8,led-wrinkle,82,Red LED or PBM for facial aging,translation-unverified,PL300 whole-body red and NIR panel used 10 minutes daily,indirect,unknown,unknown,"Whole-body minutes do not reproduce measured facial wavelength irradiance fluence geometry or cadence","Measure selected mode at the actual facial plane and choose a facial endpoint-specific protocol",../markdown-viewer.html?file=04_red_light_therapy_handheld/05_whole_body_pbm_dosing_evidence.md
9,ipl-hair,81,Home IPL hair removal,not-documented-separate-goal,None,none,not-applicable,none,"Hair-removal evidence does not support rejuvenation or pigment treatment","Only assess if unwanted hair is an explicit goal",../01_ipl_hair_removal/index.html
10,azelaic,80,Azelaic acid,present,Good Molecules azelaic acid 10%,same-class,"acne redness or pigment if correctly diagnosed; not skin aging",partial,"Most eligible trials used 15% or 20%; 10% finished formula and immediate post-Tria use are not directly established","Confirm exact product and selected indication; move to a calm non-laser window",../13_combined_skincare_regimen/index.html
11,vitamin-c,79,Vitamin C or L-ascorbic acid,present-by-label,Trader Joe's vitamin C product,ingredient-class,unknown,unknown,"Exact bottle form concentration pH packaging opening date and oxidation status unknown","Photograph label and track storage opening date color and one pigment or texture endpoint",../08_vitamin_c_serums/index.html
11,rf-microneedling,79,RF microneedling,correctly-absent-professional,None,none,unknown,none,"Professional invasive category is not a home-routine gap","Only consider through a qualified clinician for a defined scar or laxity endpoint",../10_microneedling_collagen_induction/index.html
13,hifu,77,MFU or HIFU tightening,not-documented-clinic-goal-dependent,None,none,unknown,none,"Professional ultrasound evidence does not transfer to home HIFU labels","Only assess for clinically meaningful laxity with professional device and plan",../11_hifu_skin_tightening/index.html
14,tranexamic,76,Tranexamic acid,not-documented-diagnosis-dependent,None,none,unknown,none,"Route and risk differ; strongest evidence is melasma-oriented","Establish pigment diagnosis before selecting route or adding product",../13_combined_skincare_regimen/index.html
15,niacinamide,75,Niacinamide,unknown-possible-formula-overlap,Unknown finished products,unknown,unknown,unknown,"Exact ingredient lists are missing; standalone addition may duplicate current formulas","Check current product ingredient lists before treating niacinamide as absent",../13_combined_skincare_regimen/index.html
