formula_id,product,brand,volume_ml,retail_usd,disclosure_status,most_likely_loading,modeled_input_cost_low_usd,modeled_input_cost_base_usd,modeled_input_cost_high_usd,retail_to_base_multiple,confidence,ingredient_line_assumptions,source_record_ids,notes
to_argireline,Argireline Solution 10%,The Ordinary,30,9.70,headline commercial solution,"10% ARGIRELINE solution = 3.0 g in the bottle; assuming the supplier-reference 0.05% assay gives 1.5 mg Acetyl Hexapeptide-8; the price benchmark uses 0.30 g of a potency-equivalent 0.5% suspension",2.65,3.15,4.20,3.08,medium,"Quantity bridge: 30 g bottle × 10% ARGIRELINE solution = 3.0 g solution; 3.0 g × 0.05% peptide assay = 0.0015 g peptide; equivalent Formulate Labs input = 0.0015 g ÷ 0.5% = 0.30 g suspension; cost = 0.30 g × $8.84/$10.50/$14.00 per g",FL-AHP8,"This is a potency-matched public replacement-cost benchmark, not evidence that Formulate Labs supplies The Ordinary or that The Ordinary pays this price. A direct Lipotec/brand procurement quote could be lower."
to_matrixyl,Matrixyl 10% + HA,The Ordinary,30,10.90,split inferred from product positioning,"6% Matrixyl 3000 + 4% Matrixyl Synthe'6 commercial premixes",3.58,7.18,8.40,1.52,medium,"Matrixyl 3000: 1.8 g at 1.14/2.31/2.70 $/g; Matrixyl Synthe'6: 1.2 g at 1.27/2.53/2.95 $/g",TRULUX-M3000|TRULUX-S6,"The 6%/4% split is an assumption from the historical formulation description, not a current official assay."
to_multi_ha,Multi-Peptide + HA Serum,The Ordinary,30,19.90,undisclosed named blend,"Seven named peptides; total purchased peptide material modeled at roughly 0.05/0.20/0.80%",0.30,6.50,55.00,3.06,low,"Acetyl Hexapeptide-8 0.005/0.02/0.08%; Pentapeptide-18 0.002/0.01/0.04%; PT-1/PT-7/PT-38 0.002/0.01/0.04% each; SYN-AKE 0.001/0.005/0.02%; Relistase 0.001/0.005/0.02%; amounts are guesses",FL-AHP8|FL-PP18|FL-PT1|FL-PT7|FL-PT38|FL-SYNAKE|NO-PRICE-BIOGF,"The base case is a weighted technology mix, not a pure-peptide assay."
to_copper,Multi-Peptide + Copper Peptides 1%,The Ordinary,30,32.00,headline complex,"1% copper-peptide technology headline; pure GHK-Cu fraction and other peptide amounts unknown",0.70,5.20,31.00,6.15,low,"Copper Tripeptide-1 0.02/0.10/0.30%; five expression/matrikine peptides and Relistase together 0.01/0.05/0.30%; model treats the name's 1% as a technology level, not pure GHK-Cu",FL-GHK|FL-AHP8|FL-PP18|FL-PT1|FL-PT7|FL-PT38|FL-SYNAKE,"Do not read the product name as 0.30 g of pure GHK-Cu."
to_gf15,GF 15% Solution,The Ordinary,30,15.50,commercial growth-factor solution,"15% proprietary solution = 4.5 g of commercial solution; pure protein assay unknown",4.50,45.00,225.00,0.34,low,"Plant-made EGF/IGF/TGF technology: 4.5 g commercial solution; inferred $1/$10/$50 per g for a bulk formulated growth-factor solution, bracketed by but not equal to small-vial EGF catalog pricing",FL-EGF,"This is an explicit inference band because no matched public price for the proprietary GF blend was found."
gm_super,Super Peptide Serum,Good Molecules,30,12.00,exact ppm disclosure,"25 ppm AHP-8 + 25 ppm AO-3 + 5 ppm Copper Tripeptide-1",0.02,0.06,0.11,200.00,high,"AHP-8 0.00075 g; AO-3 0.00075 g; GHK-Cu 0.00015 g; line prices use Formula Labs suspension/material anchors as conservative replacement-cost references",FL-AHP8|FL-AO3|FL-GHK,"Exact amount is strong; supplier-grade match is still imperfect because the finished product may buy a different premix or bulk powder."
gm_copper_pdrn,Copper Peptide Serum with PDRN,Good Molecules,30,12.00,partial disclosure,"GHK-Cu indexed at 0.1% but not brand-published; PDRN and two additional peptides undisclosed",3.28,3.28,3.28,3.66,low,"Best estimate: 0.030 g GHK-Cu requires 3.0 g of a 1% cosmetic suspension at $0.80/g = $2.40; 0.060 g Sodium DNA at the selected $10/g cosmetic-powder benchmark = $0.60; Caprooyl Tetrapeptide-3 uses a potency-matched 0.3% suspension input = about $0.23; $0.05 category allowance for unpriced Tridecapeptide-1",FL-GHK|FL-CAP3|ALIBABA-PDRN-COS,"The 0.1% copper figure is independently indexed, not brand-published. PDRN and minor-peptide amounts remain italicized assumptions; the cosmetic powder benchmark is not a verified Good Molecules invoice."
gng_power,Power Peptides,Geek & Gorgeous,30,18.80,exact commercial technology percentages,"3% Matrixyl 3000 + 2% Synthe'6 + 4% TEGO PEP 4-17 + 0.001% X50",4.18,4.18,4.18,4.50,high,"Best estimate: 0.9 g Matrixyl 3000 × $1.14/g + 0.6 g Synthe'6 × $0.88/g + 1.2 g TEGO PEP 4-17 × $2.18/g + 0.0003 g X50 × $0.67/g = $4.18",TRULUX-M3000|NEW-DIR-S6|ESCENTIALS-TEGO|X50,"All four formula use levels are official. The TEGO anchor is now the matched 2,300 ppm cosmetic solution sold in 5-500 g packs; research vials and pure Tetrapeptide-21 powders are excluded."
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,headline pure copper plus undisclosed complex,"3% GHK-Cu = 0.9 g; 13% additional peptide complex = 3.9 g",4.62,20.36,79.10,2.41,low,"GHK-Cu 0.9 g at 0.80/0.95/1.25 $/g; 13% complex 3.9 g at inferred 1/5/20 $/g because no matched complex price was found",FL-GHK|NO-PRICE-BIOGF,"The pure copper line is calculable as a scenario; the 13% complex is not directly priced."
theramid_derma,Derma-Peptides 35%,Theramid,30,36.00,nine commercial technologies disclosed,"M3000 5% + Synthe'6 3% + Morphomics 3% + Munapsys 5% + BIO GF 8% + Melanostatine 4% + Nutecyl 3% + Skinarch 2% + Neoclair 2%",33.00,72.00,217.00,0.50,low,"Line amounts are 1.5/0.9/0.9/1.5/2.4/1.2/0.9/0.6/0.6 g; direct anchors used for M3000, Synthe'6, Munapsys, Melanostatine, Nutecyl proxy, Skinarch; unpriced Morphomics/BIO GF/Neoclair use explicit 1/5/20 $/g analog scenarios",TRULUX-M3000|TRULUX-S6|MUNAPSYS|FL-NP1|FL-PD10|SKINARCH|NO-PRICE-MORPH|NO-PRICE-BIOGF|NO-PRICE-NEOCLAIR,"This is intentionally wide. The high case is not a claim that Theramid pays it; it shows what public small-lot and no-price gaps do to the estimate."
