pmid,year,category,short_title,design,population_or_scope,key_result,evidence_tier,conflict_flag,existing_archive_route
38943431,2025,acne,Topical treatments for mild-to-moderate acne,Systematic review/network meta-analysis,Clinical topical trials,Synthesizes comparative topical efficacy; indirectness remains,review,mixed/unclear,13_combined_skincare_regimen
39835475,2025,acne-barrier,Ceramide cleanser and moisturizer,Multicentre open-label cohort,Acne-prone skin,Evaluated lesion/skin attribute and tolerability outcomes, B,industry-linked,13_combined_skincare_regimen
39833071,2025,barrier,Moisturizing repair cream plus desonide,Randomized controlled trial,37 children with atopic dermatitis,Moisturizer-supported steroid/maintenance regimen, A,mixed/unclear,09_zinc_oxide_barrier_cream
40682377,2025,acne,Salicylic-acid gel,Prospective clinical study,Acne patients; 21 days,Reported lesion and sebum improvement with hydration/barrier measures, B,industry-linked,13_combined_skincare_regimen
41098119,2025,acne-microbiome,Prebiotic gel cream,Open-label prospective clinical trial,30 acne-prone participants; 6 weeks,Lesions fell about 36 percent and microbiome features shifted, B,industry-linked,13_combined_skincare_regimen
41034461,2025,microbiome,Probiotic-loaded alginate microspheres,In-vitro formulation study,Keratinocytes fibroblasts and microbial assays,Antimicrobial and scratch-test signals; no human outcome, C,mixed/unclear,13_combined_skincare_regimen
41528187,2026,acne-delivery,Hydrogels for acne treatment,Systematic review/meta-analysis,13 studies; 3654 participants,Pooled SMD -0.47 with high heterogeneity, A,none disclosed,13_combined_skincare_regimen
41853869,2026,acne-microbiome,Lactobacillus-based microbiome therapy,GRADE systematic review/meta-analysis,Clinical RCTs,Possible benefit but strain/route heterogeneity, A,none disclosed,13_combined_skincare_regimen
41891349,2026,acne-barrier,Bioactive moisturizer with acne therapies,Randomized investigator-blind split-face trial,40 Asian patients using adapalene/BPO or isotretinoin,Reduced treatment side effects versus traditional moisturizer, A,industry-linked,13_combined_skincare_regimen
41840253,2026,acne-delivery,Nanoformulations in acne therapy,Translational review,Topical delivery literature,Lipid/vesicular/polymeric carriers are promising but not retail-proven, C,none disclosed,13_combined_skincare_regimen
42105175,2026,acne,Topical antibiotic monotherapy,Systematic review/network meta-analysis,Clinical topical antibiotic trials,Only mild benefit for monotherapy, A,none disclosed,13_combined_skincare_regimen
42153538,2026,acne-microbiome,Probiotics for acne,Systematic review/meta-analysis,Clinical probiotic trials,Updates a possible adjunct signal; no universal strain, A,none disclosed,13_combined_skincare_regimen
42156331,2026,acne,Triple-acid serum plus adapalene,Randomized open-label controlled trial,Mild-to-moderate acne,Tests adjunct efficacy/tolerability, A,industry-linked,13_combined_skincare_regimen
42235048,2026,acne,Clascoterone plus adapalene,Open-label pilot clinical trial,Acne patients; 20 weeks,Tests complementary topical mechanisms, B,industry-linked,13_combined_skincare_regimen
42235049,2026,acne-microbiome,Bacteriophages in acne,Randomized controlled clinical study,Acne participants,Tests C acnes-targeted phage strategy, A,industry-linked,13_combined_skincare_regimen
42369848,2026,acne,Topical dapsone versus benzoyl peroxide,Randomized comparative study,50 mild-to-moderate acne patients,Compares efficacy and skin-barrier effects, A,none disclosed,13_combined_skincare_regimen
39555866,2025,pigment,Alpha-arbutin plus kojic acid versus triple combination,Split-face randomized pilot,30 melasma participants; 12 weeks,Compared cosmetic combination with triple cream, A,none disclosed,08_vitamin_c_serums
40127492,2025,pigment,Cysteamine plus ectoine versus hydroquinone,Double-blind randomized trial,Melasma across three Indonesian centers,Both improved mMASI and quality of life without significant between-group difference, A,none disclosed,13_combined_skincare_regimen
40590148,2025,pigment,Cordyceps cosmetic with oral TXA,Clinical randomized study,Women with melasma,Improvement occurred in both oral-TXA combinations, B,mixed/unclear,13_combined_skincare_regimen
40923777,2025,pigment,Oral versus topical tranexamic acid,Randomized clinical trial,50 melasma patients,Compared oral 250 mg twice daily with topical 5 percent TXA, A,none disclosed,13_combined_skincare_regimen
41014037,2025,pigment,Tinted versus untinted sunscreen in melasma,Prospective randomized investigator-blinded trial,Melasma patients during summer,Tests visible-light-protective tint for relapse protection, A,industry-linked,13_combined_skincare_regimen
41044809,2025,pigment,PTPD-12 cream,Randomized split-face trial,21 hyperpigmentation participants; 8 weeks,Reduced melanin index versus control side, A,industry-linked,12_peptides_in_skincare
40990960,2025,photoaging,Adapalene 0.1 percent for female skin aging,Randomized controlled trial,58 women completing 6 months,"Improved skin-aging score, wrinkles and pigmentation; stinging/xerosis common",A,none disclosed,13_combined_skincare_regimen
39953770,2025,pigment,PIH prevention in skin of colour,Systematic review,14 studies; 369 cases,Sunscreen was the only consistently successful prevention measure, A,none disclosed,03_fractional_laser_resurfacing
40552645,2025,photoprotection,Visible-light protection and tinted sunscreens,Review,67 selected articles,Reviews pigment/erythema evidence and standards gap, B,none disclosed,13_combined_skincare_regimen
39804624,2025,photoprotection,Oral supplements and photoprotection,Systematic review,Human and preclinical supplement literature,Signals exist but supplements do not replace sunscreen, A,mixed/unclear,13_combined_skincare_regimen
41240206,2026,pigment,Sclareolide plus niacinamide sunscreen,Investigator-blinded randomized trial,Skin of color PIH model,Tests broad-spectrum formula against UV/visible-light-induced PIH, A,industry-linked,13_combined_skincare_regimen
41493251,2026,pigment,Malassezin 0.75 percent versus hydroquinone,Split-face double-blind randomized trial,20 women with mild-to-moderate melasma,Directly tests novel topical against hydroquinone, A,industry-linked,13_combined_skincare_regimen
41362125,2026,pigment,Global consensus on melanin hyperpigmentation,International consensus,Melasma PIH and other hyperpigmentation disorders,Photoprotection plus tailored treatment algorithms, B,mixed/unclear,13_combined_skincare_regimen
42101389,2026,photoprotection,Visible-light photoprotection consensus,Modified Delphi consensus,27 expert statements,Calls for standardized exposure and measurement, B,mixed/unclear,13_combined_skincare_regimen
42310896,2026,photoprotection,Tinted inorganic sunscreen with antioxidants,Photobiology/product study,Controlled visible-light/UVA1 exposure,Reduced some erythema/pigmentation endpoints versus ZnO-only comparator, C,industry-linked,13_combined_skincare_regimen
39843829,2025,pigment-device,Picosecond Alexandrite versus Nd:YAG,Randomized evaluator-blinded trial,Melasma patients,Compares two laser strategies and safety, A,none disclosed,06_non_fractional_lasers
40932145,2026,pigment-device,Low-fluence QS Nd:YAG for melasma,Blind randomized placebo-controlled trial,Melasma patients,Tests low-fluence 1064 nm laser versus placebo, A,none disclosed,06_non_fractional_lasers
40193112,2025,peptide,OS-01 Peptide 14 topical formulation,Randomized double-blind clinical trial,60 women aged 60-90; 12 weeks,Improved barrier and hydration versus moisturizer control, A,industry-linked,12_peptides_in_skincare
40586182,2025,peptide,Cyclized hexapeptide-9 versus retinol,Randomized double-blind active/vehicle-controlled trial,Aging skin volunteers; 56 days,Reported greater wrinkle changes than comparator in several endpoints, A,industry-linked,12_peptides_in_skincare
