pmid,year,category,title,design,population_or_scope,key_result,evidence_tier,url
17014663,2006,zinc-barrier,A randomized double-blind placebo-controlled multicenter trial evaluating topical zinc oxide for acute open wounds,Randomized controlled trial,Acute open wounds after pilonidal excision,Supports wound-protectant use but not facial anti-aging claims,A,https://pubmed.ncbi.nlm.nih.gov/17014663/
17244314,2007,zinc-barrier,Zinc in wound healing theoretical experimental and clinical aspects,Review,Wound-healing literature,Mechanistic and clinical context for zinc; endpoint is wound healing,B,https://pubmed.ncbi.nlm.nih.gov/17244314/
17252573,2007,fractional-laser,Effects of skin temperature on lesion size in fractional photothermolysis,Human/biophysical study,Fractional laser tissue response,Shows that temperature history changes lesion geometry; dose is not a single energy number,B,https://pubmed.ncbi.nlm.nih.gov/17252573/
17659582,2007,hair-laser,Simulated consumer use of a battery-powered hand-held portable diode laser for hair removal,Prospective consumer-use study,Home 810 nm diode users,Early evidence that a defined home diode can reduce hair with a safety protocol,B,https://pubmed.ncbi.nlm.nih.gov/17659582/
18027066,2009,hair-laser,Meta-analysis of hair removal laser trials,Meta-analysis,Laser hair-removal trials,Supports wavelength/device/body-site comparisons but not one consumer model,A,https://pubmed.ncbi.nlm.nih.gov/18027066/
18940540,2009,rf,Thermage the nonablative radiofrequency for rejuvenation,Review,Nonablative RF,Explains RF tissue-heating and clinical endpoints; not a home-device equivalence claim,B,https://pubmed.ncbi.nlm.nih.gov/18940540/
19292837,2009,ipl-hair,Effect of a novel low-energy pulsed-light device for home-use hair removal,Controlled clinical study,Home IPL users,Supports short-term home IPL hair reduction under defined conditions,B,https://pubmed.ncbi.nlm.nih.gov/19292837/
19916262,2009,hair-laser,Permanent laser hair removal with low fluence high repetition rate versus high fluence low repetition rate 810 nm diode laser,Split-leg comparison,Hair-removal patients,Shows pulse strategy and fluence trade-offs in a clinical diode setting,A,https://pubmed.ncbi.nlm.nih.gov/19916262/
20159311,2010,plla,A randomized study of injectable poly-L-lactic acid versus human collagen implant for nasolabial fold wrinkles,Randomized controlled trial,Facial wrinkle patients,Supports product-specific PLLA efficacy versus collagen,A,https://pubmed.ncbi.nlm.nih.gov/20159311/
20432276,2010,ipl-hair,Clinical study to determine the safety and efficacy of a low-energy pulsed light device for home use hair removal,Clinical study,Home-use IPL users,Supports repeated-session hair reduction; does not support pigment claims,B,https://pubmed.ncbi.nlm.nih.gov/20432276/
